step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,injection,7.8105179340914,0.56640625,0.458740234375,0.3134765625,0.06439208984375,0.06512451171875,0.5087890625,0.11567495559500034,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 3146 530,530 1260 4919 3146 2027,1.48828 1.40918 0.0945435 0.049469 0.0432434
5,793,1,injection,7.8105179340914,0.355224609375,0.474365234375,0.2232666015625,0.046356201171875,0.0467529296875,0.364990234375,0.07891680743241537,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 3146 530 3792,530 1260 2027 3146 826,1.3457 0.647949 0.127075 0.0390015 0.0273438
6,760,1,injection,7.8105179340914,0.33935546875,0.482177734375,0.20361328125,0.0428466796875,0.043365478515625,0.3388671875,0.07223147377184139,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 3146 530 3792,530 1260 2027 3146 3792,0.969238 0.727539 0.185913 0.0508118 0.0483093
7,727,1,injection,7.8105179340914,0.366455078125,0.490234375,0.2120361328125,0.044647216796875,0.045440673828125,0.35498046875,0.07461001642034557,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 3146 530 3792,1260 530 2027 3792 3146,0.968262 0.705078 0.216553 0.0941772 0.0567627
8,694,1,injection,7.8105179340914,0.340576171875,0.499755859375,0.1944580078125,0.041107177734375,0.042144775390625,0.3291015625,0.06794354838708275,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 530 2027 3792 4919,0.848633 0.608398 0.185303 0.153442 0.0507812
9,661,1,injection,7.8105179340914,0.3466796875,0.5107421875,0.2001953125,0.042205810546875,0.04315185546875,0.3369140625,0.06922150882823618,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 530 3792 2027 4919,1.02051 0.466064 0.192261 0.146484 0.0650635
10,628,1,injection,7.8105179340914,0.391357421875,0.5185546875,0.233154296875,0.046539306640625,0.0474853515625,0.370849609375,0.07570773524719347,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 530 3792 2027 826,1.22461 0.449951 0.235596 0.223267 0.0549011
11,595,1,injection,7.8105179340914,0.429443359375,0.5244140625,0.256591796875,0.05029296875,0.051116943359375,0.3994140625,0.08140923566877321,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 530 3792 2027 4919,1.25684 0.415039 0.349854 0.251221 0.0879517
12,562,1,injection,7.8105179340914,0.439208984375,0.53125,0.267333984375,0.052001953125,0.05267333984375,0.411376953125,0.08404828411809935,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 530 3792 2027 4919,1.27734 0.449951 0.333008 0.280518 0.129639
13,529,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
