step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,4.698816977757778,0.006885528564453125,0.246337890625,0.0005717277526855469,0.0001245737075805664,0.0001246929168701172,0.0005860328674316406,0.0002110048017755921
1,925,1,injection,4.698816977757778,0.0237884521484375,0.323974609375,0.005168914794921875,0.0011281967163085938,0.0011396408081054688,0.0053558349609375,0.0018937758977893855
2,892,1,injection,4.698816977757778,0.03253173828125,0.35546875,0.00797271728515625,0.001739501953125,0.0017461776733398438,0.00820159912109375,0.0028488593961998243
3,859,1,injection,4.698816977757778,0.06640625,0.392578125,0.0232086181640625,0.00506591796875,0.005077362060546875,0.0238494873046875,0.008054708113453744
4,826,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,4.698816977757778,0.0,1.0,0.0,0.0,0.0,0.0,0.0
