step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,4.8141920796469195,0.28076171875,0.35009765625,0.28173828125,0.059814453125,0.06121826171875,0.294677734375,0.07713445807768941
1,925,1,injection,4.8141920796469195,0.480224609375,0.412841796875,0.5576171875,0.118408203125,0.119384765625,0.57470703125,0.14283980582520722
2,892,1,injection,4.8141920796469195,0.3232421875,0.42529296875,0.3125,0.06634521484375,0.06597900390625,0.317626953125,0.07126424189306026
3,859,1,injection,4.8141920796469195,0.184326171875,0.4619140625,0.1568603515625,0.0333251953125,0.03350830078125,0.161376953125,0.035219522591637666
4,826,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
