step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,5.0,0.1785888671875,0.355712890625,0.076171875,0.0156402587890625,0.0158233642578125,0.0791015625,0.01617412140574749
14,496,1,injection,5.0,0.2117919921875,0.34765625,0.08526611328125,0.0172882080078125,0.0175018310546875,0.0875244140625,0.017796862589353014
15,463,1,injection,5.0,0.236083984375,0.3388671875,0.08740234375,0.017669677734375,0.017822265625,0.089111328125,0.01801935229067566
16,430,1,injection,5.0,0.2432861328125,0.33349609375,0.0889892578125,0.01812744140625,0.0182647705078125,0.09130859375,0.018391030684496688
17,397,1,injection,5.0,0.268798828125,0.325927734375,0.09588623046875,0.0194244384765625,0.0195465087890625,0.09771728515625,0.019604721786829923
18,364,1,injection,5.0,0.272216796875,0.3154296875,0.090576171875,0.0184173583984375,0.0184478759765625,0.09222412109375,0.01844482421874631
19,331,1,injection,5.0,0.264404296875,0.300537109375,0.0830078125,0.0168304443359375,0.0168914794921875,0.08447265625,0.016828793774315714
20,298,1,injection,5.0,0.252197265625,0.2841796875,0.076171875,0.0154571533203125,0.01557159423828125,0.07781982421875,0.015443313953485307
21,265,1,injection,5.0,0.2454833984375,0.27099609375,0.0716552734375,0.0143585205078125,0.014434814453125,0.07220458984375,0.014273648648645826
22,232,1,injection,5.0,0.2314453125,0.2568359375,0.06671142578125,0.01338958740234375,0.01348114013671875,0.0673828125,0.013279445727480061
23,199,1,injection,5.0,0.22900390625,0.2471923828125,0.06719970703125,0.0133056640625,0.013397216796875,0.0670166015625,0.013176843317969759
24,166,1,injection,5.0,0.2261962890625,0.237548828125,0.0675048828125,0.01335906982421875,0.01346588134765625,0.06732177734375,0.013206417624518482
25,133,1,injection,5.0,0.2296142578125,0.231201171875,0.0704345703125,0.0139617919921875,0.0140838623046875,0.0704345703125,0.013785359327214428
26,100,1,injection,5.0,0.22900390625,0.2265625,0.0726318359375,0.014312744140625,0.01447296142578125,0.0723876953125,0.01414599236640945
27,67,1,injection,5.0,0.2330322265625,0.2174072265625,0.07830810546875,0.0156097412109375,0.0157623291015625,0.07879638671875,0.015421922782871599
28,34,1,injection,5.0,0.218017578125,0.197998046875,0.0784912109375,0.0159149169921875,0.01617431640625,0.08087158203125,0.015962316885116356
29,1,1,injection,5.0,0.2371826171875,0.1441650390625,0.11053466796875,0.0227203369140625,0.023834228515625,0.119140625,0.024938675388383985
