step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,4.8141920796469195,0.0419921875,0.410888671875,0.009857177734375,0.0020923614501953125,0.0021038055419921875,0.0101318359375,0.0019156203840469052
14,496,1,injection,4.8141920796469195,0.0309295654296875,0.401611328125,0.0069732666015625,0.0014886856079101562,0.0015268325805664062,0.007350921630859375,0.0013898345180942719
15,463,1,injection,4.8141920796469195,0.021392822265625,0.390380859375,0.005008697509765625,0.0010776519775390625,0.0010814666748046875,0.005207061767578125,0.0009830441095130887
16,430,1,injection,4.8141920796469195,0.0203704833984375,0.378662109375,0.00438690185546875,0.0009450912475585938,0.0009417533874511719,0.004535675048828125,0.0008569245848706868
17,397,1,injection,4.8141920796469195,0.0180206298828125,0.3662109375,0.0028781890869140625,0.00061798095703125,0.0006136894226074219,0.0029544830322265625,0.0005581901522139167
18,364,1,injection,4.8141920796469195,0.012847900390625,0.35546875,0.0018301010131835938,0.0003948211669921875,0.00038623809814453125,0.0018596649169921875,0.0003518656457870731
19,331,1,injection,4.8141920796469195,0.00841522216796875,0.347900390625,0.0012750625610351562,0.00027632713317871094,0.0002665519714355469,0.0012836456298828125,0.00024341724537032421
20,298,1,injection,4.8141920796469195,0.00527191162109375,0.3388671875,0.0012607574462890625,0.0002758502960205078,0.0002675056457519531,0.0012884140014648438,0.00024486561572007224
21,265,1,injection,4.8141920796469195,0.003971099853515625,0.32763671875,0.0006756782531738281,0.00014793872833251953,0.00014138221740722656,0.0006804466247558594,0.00012970538789089113
22,232,1,injection,4.8141920796469195,0.0038509368896484375,0.31689453125,0.0010595321655273438,0.0002300739288330078,0.0002472400665283203,0.001190185546875,0.00022771860986542727
23,199,1,injection,4.8141920796469195,0.0020503997802734375,0.306396484375,0.0009908676147460938,0.00021541118621826172,0.00023031234741210938,0.0011091232299804688,0.0002128452375374404
24,166,1,injection,4.8141920796469195,0.00197601318359375,0.29541015625,0.0009522438049316406,0.00020694732666015625,0.00021946430206298828,0.001056671142578125,0.00020369564194273182
25,133,1,injection,4.8141920796469195,0.0018711090087890625,0.28271484375,0.0009069442749023438,0.0001971721649169922,0.00020754337310791016,0.00099945068359375,0.00019368612793334625
26,100,1,injection,4.8141920796469195,0.003345489501953125,0.2666015625,0.00164031982421875,0.00035834312438964844,0.0003638267517089844,0.001750946044921875,0.00034138780464578264
27,67,1,injection,4.8141920796469195,0.005649566650390625,0.24169921875,0.002674102783203125,0.0005831718444824219,0.0006132125854492188,0.00295257568359375,0.0005827751542018895
28,34,1,injection,4.8141920796469195,0.006610870361328125,0.20654296875,0.00304412841796875,0.0006618499755859375,0.0007071495056152344,0.0034046173095703125,0.0006879100483424025
29,1,1,injection,4.8141920796469195,0.006931304931640625,0.11383056640625,0.0010957717895507812,0.0002384185791015625,0.00024247169494628906,0.00116729736328125,0.0002653890985789805
