step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,5.0,0.095458984375,0.2496337890625,0.03668212890625,0.007617950439453125,0.0078887939453125,0.0394287109375,0.008709016393440698
5,793,1,injection,5.0,0.1278076171875,0.281982421875,0.047760009765625,0.0100860595703125,0.01033782958984375,0.05169677734375,0.01113067703952662
6,760,1,injection,5.0,0.1514892578125,0.309814453125,0.058685302734375,0.012115478515625,0.0123291015625,0.0616455078125,0.013042355371898066
7,727,1,injection,5.0,0.1591796875,0.327880859375,0.059417724609375,0.0123138427734375,0.01247406005859375,0.062347412109375,0.013072020884518143
8,694,1,injection,5.0,0.1627197265625,0.336669921875,0.063232421875,0.01311492919921875,0.01329803466796875,0.0665283203125,0.013846544715444272
9,661,1,injection,5.0,0.186767578125,0.34423828125,0.07037353515625,0.0145416259765625,0.0147552490234375,0.07379150390625,0.015246670702176026
10,628,1,injection,5.0,0.208251953125,0.35107421875,0.07733154296875,0.0159759521484375,0.0161590576171875,0.08074951171875,0.016577285485160992
11,595,1,injection,5.0,0.235595703125,0.35302734375,0.089599609375,0.0182647705078125,0.01849365234375,0.09246826171875,0.018877093301431554
12,562,1,injection,5.0,0.2457275390625,0.356689453125,0.09307861328125,0.018951416015625,0.019195556640625,0.095947265625,0.019494047619043657
13,529,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
