step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,4.8141920796469195,0.07769775390625,0.4736328125,0.059173583984375,0.01256561279296875,0.0124359130859375,0.05987548828125,0.012371368038738364
5,793,1,injection,4.8141920796469195,0.0794677734375,0.490966796875,0.057586669921875,0.01222991943359375,0.012298583984375,0.0592041015625,0.011749031007749607
6,760,1,injection,4.8141920796469195,0.053955078125,0.48974609375,0.036590576171875,0.007781982421875,0.00791168212890625,0.0380859375,0.007425742574255978
7,727,1,injection,4.8141920796469195,0.048583984375,0.472412109375,0.02703857421875,0.005756378173828125,0.00591278076171875,0.028472900390625,0.005530396433989821
8,694,1,injection,4.8141920796469195,0.05755615234375,0.466064453125,0.02825927734375,0.006000518798828125,0.0060272216796875,0.029022216796875,0.0055904345372449725
9,661,1,injection,4.8141920796469195,0.05133056640625,0.453857421875,0.021392822265625,0.004543304443359375,0.004482269287109375,0.021575927734375,0.0041158252608039835
10,628,1,injection,4.8141920796469195,0.04852294921875,0.438232421875,0.017181396484375,0.0036468505859375,0.0036144256591796875,0.01739501953125,0.003293731508875116
11,595,1,injection,4.8141920796469195,0.03558349609375,0.43115234375,0.0116729736328125,0.00247955322265625,0.0024623870849609375,0.0118560791015625,0.002235019329896486
12,562,1,injection,4.8141920796469195,0.022216796875,0.419921875,0.00634002685546875,0.001346588134765625,0.0013475418090820312,0.006488800048828125,0.0012205237417337895
13,529,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,4.8141920796469195,0.0,1.0,0.0,0.0,0.0,0.0,0.0
