step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,10.0,0.01348876953125,0.049957275390625,0.0024471282958984375,0.0005249977111816406,0.0005421638488769531,0.005420684814453125,0.0014088277284260296
1,925,1,injection,10.0,0.133056640625,0.09515380859375,0.034881591796875,0.007457733154296875,0.007720947265625,0.07720947265625,0.01911569148935697
2,892,1,injection,10.0,0.1263427734375,0.173095703125,0.02874755859375,0.00614166259765625,0.0063934326171875,0.06396484375,0.01499542124541773
3,859,1,injection,10.0,0.180908203125,0.2164306640625,0.054229736328125,0.01171875,0.0121612548828125,0.12158203125,0.0274229074889806
4,826,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
