step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,9.628384159293839,0.0197601318359375,0.35009765625,0.0147247314453125,0.00315093994140625,0.003200531005859375,0.03082275390625,0.008288471638653233
1,925,1,injection,9.628384159293839,0.15478515625,0.412841796875,0.1793212890625,0.0380859375,0.03912353515625,0.376708984375,0.09711732124871615
2,892,1,injection,9.628384159293839,0.0986328125,0.42529296875,0.09539794921875,0.0202484130859375,0.020111083984375,0.193603515625,0.04747365900381977
3,859,1,injection,9.628384159293839,0.08770751953125,0.4619140625,0.0743408203125,0.015777587890625,0.01580810546875,0.1522216796875,0.035751146788982426
4,826,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0
