step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,10.0,0.2705078125,0.355712890625,0.1732177734375,0.035552978515625,0.036407470703125,0.364013671875,0.07515120967740384
14,496,1,injection,10.0,0.242431640625,0.34765625,0.14013671875,0.02886962890625,0.0294342041015625,0.29443359375,0.06029999999998765
15,463,1,injection,10.0,0.21533203125,0.3388671875,0.1201171875,0.0251617431640625,0.0254669189453125,0.254638671875,0.05185958631661633
16,430,1,injection,10.0,0.18212890625,0.33349609375,0.09326171875,0.019561767578125,0.0196990966796875,0.197021484375,0.03987154150196821
17,397,1,injection,10.0,0.1669921875,0.325927734375,0.07696533203125,0.016082763671875,0.0161285400390625,0.1612548828125,0.03245381289307523
18,364,1,injection,10.0,0.1619873046875,0.3154296875,0.0672607421875,0.01396942138671875,0.01392364501953125,0.1392822265625,0.027878225175913107
19,331,1,injection,10.0,0.155029296875,0.300537109375,0.05767822265625,0.0119171142578125,0.01178741455078125,0.11785888671875,0.02338905038759226
20,298,1,injection,10.0,0.1385498046875,0.2841796875,0.044708251953125,0.00927734375,0.00907135009765625,0.0906982421875,0.01783314132104104
21,265,1,injection,10.0,0.1192626953125,0.27099609375,0.035552978515625,0.007419586181640625,0.007259368896484375,0.07257080078125,0.014063682816045723
22,232,1,injection,10.0,0.11419677734375,0.2568359375,0.0302734375,0.00640869140625,0.006267547607421875,0.06268310546875,0.011939639136902488
23,199,1,injection,10.0,0.1077880859375,0.2471923828125,0.026763916015625,0.005733489990234375,0.0055999755859375,0.055999755859375,0.010541130514703899
24,166,1,injection,10.0,0.0926513671875,0.237548828125,0.021240234375,0.004550933837890625,0.00438690185546875,0.043853759765625,0.008206551535086183
25,133,1,injection,10.0,0.07806396484375,0.231201171875,0.0173187255859375,0.0036907196044921875,0.003543853759765625,0.03546142578125,0.006616709183672235
26,100,1,injection,10.0,0.062286376953125,0.2265625,0.01262664794921875,0.0027942657470703125,0.002666473388671875,0.0266571044921875,0.004963068181817258
27,67,1,injection,10.0,0.06024169921875,0.2174072265625,0.012664794921875,0.0027866363525390625,0.0026836395263671875,0.0268402099609375,0.005044855910424896
28,34,1,injection,10.0,0.06842041015625,0.197998046875,0.01409912109375,0.0030193328857421875,0.0029392242431640625,0.0294036865234375,0.005638459737826634
29,1,1,injection,10.0,0.0595703125,0.1441650390625,0.0213165283203125,0.00445556640625,0.0045318603515625,0.045318603515625,0.009741026448360626
