step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,2.5,1.38671875,1.8876953125,2.6015625,0.50439453125,0.509765625,1.2744140625,0.3098290598289845
14,496,1,injection,2.5,1.390625,1.8798828125,2.400390625,0.46630859375,0.473388671875,1.18359375,0.2861189801699025
15,463,1,injection,2.5,1.515625,1.8759765625,2.40234375,0.463134765625,0.47265625,1.181640625,0.28430451127812706
16,430,1,injection,2.5,1.728515625,1.86328125,2.53515625,0.484130859375,0.4970703125,1.2431640625,0.29798689138569634
17,397,1,injection,2.5,1.9208984375,1.8544921875,2.677734375,0.509765625,0.5263671875,1.31640625,0.314953271027962
18,364,1,injection,2.5,2.013671875,1.84375,2.76171875,0.5283203125,0.546875,1.3681640625,0.3267257462685787
19,331,1,injection,2.5,2.029296875,1.8291015625,2.80078125,0.5390625,0.5576171875,1.3935546875,0.3309369202225559
20,298,1,injection,2.5,1.970703125,1.818359375,2.724609375,0.5263671875,0.5419921875,1.35546875,0.3189338235293367
21,265,1,injection,2.5,1.8916015625,1.8056640625,2.572265625,0.498291015625,0.5107421875,1.2763671875,0.2954339963832951
22,232,1,injection,2.5,1.857421875,1.7998046875,2.474609375,0.482177734375,0.490966796875,1.2275390625,0.27785145888587875
23,199,1,injection,2.5,1.859375,1.7919921875,2.36328125,0.461181640625,0.467041015625,1.16796875,0.25954861111105343
24,166,1,injection,2.5,1.8779296875,1.783203125,2.26953125,0.4443359375,0.44775390625,1.119140625,0.2465576592082073
25,133,1,injection,2.5,1.8857421875,1.7861328125,2.22265625,0.43603515625,0.437744140625,1.09375,0.24034334763943216
26,100,1,injection,2.5,1.9033203125,1.783203125,2.14453125,0.4228515625,0.422607421875,1.056640625,0.23258813413580434
27,67,1,injection,2.5,1.9091796875,1.78515625,2.044921875,0.4072265625,0.40673828125,1.0166015625,0.22689625108974884
28,34,1,injection,2.5,1.845703125,1.7822265625,1.9736328125,0.398193359375,0.3994140625,0.99853515625,0.22864490160996553
29,1,1,injection,2.5,1.5439453125,1.79296875,2.623046875,0.515625,0.521484375,1.3037109375,0.3388324873095566
