step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,9.397633955515555,0.2353515625,0.408447265625,0.1009521484375,0.02203369140625,0.0222625732421875,0.209228515625,0.06920219638240604
5,793,1,injection,9.397633955515555,0.419677734375,0.42138671875,0.203857421875,0.04443359375,0.044952392578125,0.42236328125,0.1377388535031398
6,760,1,injection,9.397633955515555,0.57861328125,0.4326171875,0.3291015625,0.07183837890625,0.07293701171875,0.68505859375,0.2215729627289239
7,727,1,injection,9.397633955515555,0.76220703125,0.43994140625,0.4755859375,0.10382080078125,0.1055908203125,0.9921875,0.31849529780554037
8,694,1,injection,9.397633955515555,0.96435546875,0.434814453125,0.6142578125,0.134033203125,0.1368408203125,1.2861328125,0.409260410192536
9,661,1,injection,9.397633955515555,1.162109375,0.431884765625,0.7724609375,0.16845703125,0.172607421875,1.6220703125,0.5117067159579408
10,628,1,injection,9.397633955515555,1.330078125,0.4287109375,0.8974609375,0.19580078125,0.201416015625,1.892578125,0.5930232558137677
11,595,1,injection,9.397633955515555,1.470703125,0.42626953125,0.99658203125,0.2174072265625,0.2244873046875,2.109375,0.6565349544070904
12,562,1,injection,9.397633955515555,1.5224609375,0.42431640625,1.0283203125,0.224365234375,0.231689453125,2.177734375,0.6757575757573661
13,529,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
