step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,2.5,0.9814453125,1.74609375,2.103515625,0.41064453125,0.40966796875,1.0244140625,0.2677386421642996
5,793,1,injection,2.5,0.88330078125,1.796875,2.013671875,0.396240234375,0.396484375,0.9912109375,0.2522365805168344
6,760,1,injection,2.5,0.8720703125,1.83203125,1.8916015625,0.37158203125,0.372314453125,0.93115234375,0.23143203883489394
7,727,1,injection,2.5,0.8916015625,1.8486328125,1.87109375,0.36865234375,0.368896484375,0.92236328125,0.22339167455056083
8,694,1,injection,2.5,0.919921875,1.85546875,1.85546875,0.36279296875,0.360107421875,0.900390625,0.2120515179392325
9,661,1,injection,2.5,0.931640625,1.86328125,1.7841796875,0.347900390625,0.343505859375,0.85888671875,0.19561832740209067
10,628,1,injection,2.5,1.001953125,1.8681640625,1.8583984375,0.359375,0.355224609375,0.88818359375,0.19567555938033554
11,595,1,injection,2.5,1.046875,1.8740234375,1.9443359375,0.373291015625,0.37109375,0.92724609375,0.19797748123431969
12,562,1,injection,2.5,1.1611328125,1.8798828125,2.046875,0.39013671875,0.38720703125,0.96826171875,0.20367707477399166
13,529,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
