step_idx,timestep,baseline,main,early,late
0,958,0.1964111328125,0.1964111328125,0.1976318359375,0.1964111328125
1,925,1.4833984375,1.4833984375,1.547119140625,1.4833984375
2,892,1.400390625,1.400390625,0.986328125,1.400390625
3,859,1.42877197265625,1.42877197265625,0.8767318725585938,1.42877197265625
4,826,1.3349609375,1.0517578125,0.6187515258789062,1.3349609375
5,793,1.3828125,0.92431640625,0.5301742553710938,1.3828125
6,760,1.36328125,0.88232421875,0.472747802734375,1.36328125
7,727,1.29296875,0.689453125,0.3961029052734375,1.29296875
8,694,1.3359375,0.466796875,0.384033203125,1.3359375
9,661,1.3369140625,0.330078125,0.361328125,1.3369140625
10,628,1.3125,0.16259765625,0.29278564453125,1.3125
11,595,1.2333984375,0.0986328125,0.23211669921875,1.2333984375
12,562,1.1025390625,0.08447265625,0.242889404296875,1.1025390625
13,529,0.97998046875,0.222900390625,0.220123291015625,0.5146484375
14,496,0.75927734375,0.180419921875,0.1916656494140625,0.42138671875
15,463,0.6357421875,0.134521484375,0.11407470703125,0.2607421875
16,430,0.455810546875,0.10406494140625,0.097747802734375,0.1605224609375
17,397,0.377197265625,0.10589599609375,0.0998687744140625,0.10968017578125
18,364,0.280517578125,0.051025390625,0.0839996337890625,0.075439453125
19,331,0.1727294921875,0.045440673828125,0.08941650390625,0.041015625
20,298,0.0830078125,0.042572021484375,0.064727783203125,0.039306640625
21,265,0.053985595703125,0.038421630859375,0.03386688232421875,0.03851318359375
22,232,0.048309326171875,0.0123291015625,0.04343414306640625,0.0274810791015625
23,199,0.033447265625,0.021209716796875,0.053070068359375,0.025390625
24,166,0.0149078369140625,0.035491943359375,0.05393218994140625,0.02984619140625
25,133,0.0,0.03839111328125,0.0640106201171875,0.0157470703125
26,100,0.0,0.04779052734375,0.0721435546875,0.0
27,67,0.0,0.02520751953125,0.0584716796875,0.0
28,34,0.0159454345703125,0.077239990234375,0.121917724609375,0.0
29,1,0.0165252685546875,0.12799072265625,0.15020751953125,0.018768310546875
