step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,injection,9.397633955515555,0.00812530517578125,0.246337890625,0.0006246566772460938,0.00013637542724609375,0.00013828277587890625,0.0012989044189453125,0.0004723288796163055,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002,2002 1498 4807 3805 3481,0.00624847 0 0 0 0
1,925,1,injection,9.397633955515555,0.027191162109375,0.323974609375,0.006134033203125,0.001338958740234375,0.001354217529296875,0.012725830078125,0.004515332640331038,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 438,2002 438 1498 3481 4807,0.0602722 0.00107574 0 0 0
2,892,1,injection,9.397633955515555,0.0193328857421875,0.35546875,0.00493621826171875,0.0010776519775390625,0.0010976791381835938,0.01032257080078125,0.0035855876865659186,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 438,2002 438 1498 3481 4807,0.0481567 0.00121498 0 0 0
3,859,1,injection,9.397633955515555,0.033050537109375,0.392578125,0.01210784912109375,0.0026454925537109375,0.0026950836181640625,0.02532958984375,0.008645833333330383,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 3852,2002 3852 1498 3481 4807,0.104736 0.0163574 0 0 0
4,826,1,injection,9.397633955515555,0.02496337890625,0.408447265625,0.0113983154296875,0.0025005340576171875,0.0025272369384765625,0.02374267578125,0.007966087811268625,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498 3852,3852 2002 1498 3481 4807,0.0684814 0.0446472 0.000862598 0 0
5,793,1,injection,9.397633955515555,0.04052734375,0.42138671875,0.01947021484375,0.0042572021484375,0.004276275634765625,0.040191650390625,0.013538240131574387,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 206 3852,2002 3852 206 3481 4807,0.152466 0.0320435 0.0102234 0 0
6,760,1,injection,9.397633955515555,0.04644775390625,0.4326171875,0.0242462158203125,0.00531005859375,0.005336761474609375,0.0501708984375,0.016636981865279458,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 3852,2002 3852 1498 3481 4807,0.136475 0.106018 0 0 0
7,727,1,injection,9.397633955515555,0.043853759765625,0.43994140625,0.0235137939453125,0.00514984130859375,0.005184173583984375,0.048736572265625,0.016256107491851256,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 206 3852,2002 3852 206 3481 4807,0.13562 0.0964355 0.00303459 0 0
8,694,1,injection,9.397633955515555,0.049468994140625,0.434814453125,0.0262603759765625,0.005748748779296875,0.0057830810546875,0.054351806640625,0.01800008085381034,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 3852,2002 3852 1498 3481 4807,0.168457 0.0941772 0 0 0
9,661,1,injection,9.397633955515555,0.047393798828125,0.431884765625,0.0244140625,0.005344390869140625,0.0053558349609375,0.050323486328125,0.016601562499994522,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 3852,2002 3852 1498 3481 4807,0.158325 0.0858765 0 0 0
10,628,1,injection,9.397633955515555,0.04266357421875,0.4287109375,0.0204315185546875,0.004474639892578125,0.00447845458984375,0.042083740234375,0.013812099358969826,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 3852,2002 3852 1498 3481 4807,0.126709 0.0775757 0 0 0
11,595,1,injection,9.397633955515555,0.036224365234375,0.42626953125,0.01461029052734375,0.0032024383544921875,0.003204345703125,0.0301055908203125,0.009805383269716908,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498 3852,3852 2002 1498 3481 4807,0.0759277 0.0680542 0.00211716 0 0
12,562,1,injection,9.397633955515555,0.03497314453125,0.42431640625,0.0132293701171875,0.0029010772705078125,0.0029010772705078125,0.0272674560546875,0.00881929090334522,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498 3852,3852 2002 1498 3481 4807,0.0715942 0.0583191 0.00239754 0 0
13,529,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
