step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,injection,2.5,1.0009765625,2.50390625,2.130859375,0.38623046875,0.38720703125,0.9677734375,0.30454824830967675,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 3795 282,2727 2164 3078 3795 4296,11.8281 2.76758 2.54492 2.1875 1.9873
1,925,1,injection,2.5,1.75390625,1.7509765625,6.3359375,1.1845703125,1.1884765625,2.970703125,0.8607809847196147,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 3795 282,4296 3795 2727 2164 3078,59.375 1.26855 1.0293 0.958984 0.707031
2,892,1,injection,2.5,5.10546875,1.658203125,7.375,1.2958984375,1.3115234375,3.27734375,0.8596311475407581,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 2155 1480 4975 282,2727 4296 3078 282 2164,51.8125 10.3828 10.0234 0.817871 0.397217
3,859,1,injection,2.5,4.63671875,1.7041015625,10.875,1.841796875,1.853515625,4.6328125,1.2095869454356862,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 2155 1480 4975 282,2727 4296 3078 282 4975,59.4375 33.4062 14.0938 1.34668 0.365723
4,826,1,injection,2.5,5.20703125,1.74609375,11.15625,1.9365234375,1.9521484375,4.87890625,1.1827651515148647,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 282,2727 3078 4296 282 4975,78.625 22.4219 8.14844 1.30273 0.624512
5,793,1,injection,2.5,3.876953125,1.796875,9.9375,1.642578125,1.646484375,4.1171875,1.0105465004791383,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,2727 4296 3078 2164 282,38.9375 32.3438 25.0156 1.53125 1.4873
6,760,1,injection,2.5,4.1875,1.83203125,8.734375,1.484375,1.5,3.75,0.8847926267279018,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,2727 3078 4296 2164 282,47.7812 30.1562 4.99609 2.72461 1.62598
7,727,1,injection,2.5,3.46875,1.8486328125,7.671875,1.251953125,1.259765625,3.150390625,0.7460684551339584,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,3078 2727 4296 2164 282,28.4844 24.625 17.8281 4.10547 1.5166
8,694,1,injection,2.5,3.533203125,1.85546875,7.12109375,1.173828125,1.1875,2.96875,0.695333943275226,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,3078 2727 4296 2164 282,28.8906 26.7031 9.3125 4.46484 1.59863
9,661,1,injection,2.5,3.31640625,1.86328125,6.6796875,1.078125,1.09375,2.734375,0.6433823529410251,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,3078 2727 4296 2164 282,25.4062 22.4844 12.0859 4.61328 1.81934
10,628,1,injection,2.5,3.3203125,1.8681640625,6.671875,1.060546875,1.078125,2.697265625,0.6381700554527141,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,3078 2727 4296 2164 282,22.6719 20.8906 15.1094 5.09375 2.4082
11,595,1,injection,2.5,3.431640625,1.8740234375,7.140625,1.1181640625,1.13671875,2.841796875,0.6717451523544118,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,2727 3078 4296 2164 282,22.6562 21.0469 18.75 5.60938 2.89453
12,562,1,injection,2.5,3.59375,1.8798828125,6.9453125,1.09375,1.1123046875,2.779296875,0.6509606587372675,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3347 282,2727 3078 4296 2164 282,26.3438 19.9062 13.375 5.89844 3.41016
13,529,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
