step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,injection,10.0,0.2705078125,0.355712890625,0.1732177734375,0.035552978515625,0.036407470703125,0.364013671875,0.07515120967740384,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 2932 3940 4589 1007,366 2932 304 4589 2766,1.34277 0.177368 0.13916 0.0309906 0.0182343
14,496,1,injection,10.0,0.242431640625,0.34765625,0.14013671875,0.02886962890625,0.0294342041015625,0.29443359375,0.06029999999998765,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 999 2932 3940 4589 1007,366 2932 304 4589 2766,1.00293 0.202271 0.110352 0.0359497 0.0211182
15,463,1,injection,10.0,0.21533203125,0.3388671875,0.1201171875,0.0251617431640625,0.0254669189453125,0.254638671875,0.05185958631661633,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 999 2932 3940 4589 1007,366 2932 304 4589 2766,0.868652 0.177856 0.0673218 0.0407715 0.0128021
16,430,1,injection,10.0,0.18212890625,0.33349609375,0.09326171875,0.019561767578125,0.0196990966796875,0.197021484375,0.03987154150196821,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 999 2932 3940 4589 1007,366 2932 304 4589 3940,0.626465 0.168091 0.0522461 0.0332947 0.019455
17,397,1,injection,10.0,0.1669921875,0.325927734375,0.07696533203125,0.016082763671875,0.0161285400390625,0.1612548828125,0.03245381289307523,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 2932 3940 4589 1007,366 2932 304 3940 4589,0.463135 0.171387 0.0575256 0.0270996 0.024826
18,364,1,injection,10.0,0.1619873046875,0.3154296875,0.0672607421875,0.01396942138671875,0.01392364501953125,0.1392822265625,0.027878225175913107,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,366 2932 4589 304 3940,0.384766 0.174561 0.0394592 0.0266266 0.0262604
19,331,1,injection,10.0,0.155029296875,0.300537109375,0.05767822265625,0.0119171142578125,0.01178741455078125,0.11785888671875,0.02338905038759226,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,366 2932 304 4589 3940,0.276855 0.194702 0.0312195 0.0298462 0.0234222
20,298,1,injection,10.0,0.1385498046875,0.2841796875,0.044708251953125,0.00927734375,0.00907135009765625,0.0906982421875,0.01783314132104104,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,2932 366 4589 304 677,0.189575 0.174194 0.0280151 0.0196228 0.0169525
21,265,1,injection,10.0,0.1192626953125,0.27099609375,0.035552978515625,0.007419586181640625,0.007259368896484375,0.07257080078125,0.014063682816045723,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589,2932 366 4589 304 677,0.172485 0.106323 0.0238953 0.0184784 0.0179291
22,232,1,injection,10.0,0.11419677734375,0.2568359375,0.0302734375,0.00640869140625,0.006267547607421875,0.06268310546875,0.011939639136902488,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589,2932 366 4589 677 3940,0.162231 0.0574646 0.0286407 0.017334 0.0172882
23,199,1,injection,10.0,0.1077880859375,0.2471923828125,0.026763916015625,0.005733489990234375,0.0055999755859375,0.055999755859375,0.010541130514703899,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589,2932 366 4589 3940 677,0.147339 0.0422668 0.0244751 0.0186615 0.0175934
24,166,1,injection,10.0,0.0926513671875,0.237548828125,0.021240234375,0.004550933837890625,0.00438690185546875,0.043853759765625,0.008206551535086183,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589,2932 366 4589 3940 304,0.133789 0.0291595 0.0246429 0.0123291 0.00521088
25,133,1,injection,10.0,0.07806396484375,0.231201171875,0.0173187255859375,0.0036907196044921875,0.003543853759765625,0.03546142578125,0.006616709183672235,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589,2932 366 4589 3940 677,0.101868 0.0274506 0.0234222 0.00956726 0.00520325
26,100,1,injection,10.0,0.062286376953125,0.2265625,0.01262664794921875,0.0027942657470703125,0.002666473388671875,0.0266571044921875,0.004963068181817258,366 677 304 2766 999 2091 2932 3940 4589 1007,366 2932 3940 4589,2932 4589 3940 366 677,0.0941162 0.0184021 0.00910187 0.00461578 0
27,67,1,injection,10.0,0.06024169921875,0.2174072265625,0.012664794921875,0.0027866363525390625,0.0026836395263671875,0.0268402099609375,0.005044855910424896,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589,2932 4589 677 3940 366,0.072876 0.029007 0.00673676 0.00670242 0.00428391
28,34,1,injection,10.0,0.06842041015625,0.197998046875,0.01409912109375,0.0030193328857421875,0.0029392242431640625,0.0294036865234375,0.005638459737826634,366 677 304 2766 999 2091 2932 3940 4589 1007,677 304 999 2932 3940 4589,2932 677 4589 3940 304,0.0667114 0.0314026 0.0247498 0.011734 0.00356865
29,1,1,injection,10.0,0.0595703125,0.1441650390625,0.0213165283203125,0.00445556640625,0.0045318603515625,0.045318603515625,0.009741026448360626,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 2766 999 2932 4589,677 2932 4589 2766 366,0.160889 0.0273743 0.0213928 0.00191116 0.0011034
