step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,injection,2.5,1.38671875,1.8876953125,2.6015625,0.50439453125,0.509765625,1.2744140625,0.3098290598289845,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347 282,2727 3078 3347 2164 282,18.2812 4.38672 2.67969 0.652832 0.0144501
14,496,1,injection,2.5,1.390625,1.8798828125,2.400390625,0.46630859375,0.473388671875,1.18359375,0.2861189801699025,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347 282,2727 3347 3078 2164 282,16.2344 4.10156 3.25977 0.395996 0.0159454
15,463,1,injection,2.5,1.515625,1.8759765625,2.40234375,0.463134765625,0.47265625,1.181640625,0.28430451127812706,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347 282,2727 3347 3078 2164 282,15.1406 5.98828 2.51172 0.361816 0.01474
16,430,1,injection,2.5,1.728515625,1.86328125,2.53515625,0.484130859375,0.4970703125,1.2431640625,0.29798689138569634,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347,2727 3347 3078 2164 4296,14.4297 8.33594 2.03516 0.535156 0
17,397,1,injection,2.5,1.9208984375,1.8544921875,2.677734375,0.509765625,0.5263671875,1.31640625,0.314953271027962,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347,2727 3347 3078 2164 4296,13.7891 10.6406 1.73438 0.607422 0
18,364,1,injection,2.5,2.013671875,1.84375,2.76171875,0.5283203125,0.546875,1.3681640625,0.3267257462685787,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347,2727 3347 3078 2164 4296,13.6094 11.9531 1.57812 0.466797 0
19,331,1,injection,2.5,2.029296875,1.8291015625,2.80078125,0.5390625,0.5576171875,1.3935546875,0.3309369202225559,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347,2727 3347 3078 2164 4296,14.125 12.0781 1.62402 0.17749 0
20,298,1,injection,2.5,1.970703125,1.818359375,2.724609375,0.5263671875,0.5419921875,1.35546875,0.3189338235293367,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,2727 3078 2164 3347,2727 3347 3078 2164 4296,14.0469 11.2656 1.77539 0.161743 0
