step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,injection,10.0,0.33935546875,0.2496337890625,0.138427734375,0.0288238525390625,0.029693603515625,0.296875,0.0673758865248074,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,366 2932 1007 304 677,1.11426 0.160767 0.0480957 0.0259552 0.0221558
5,793,1,injection,10.0,0.32275390625,0.281982421875,0.150146484375,0.0312042236328125,0.031951904296875,0.319580078125,0.0707108902333465,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 4589 1007,366 2932 1007 304 999,1.19824 0.143066 0.0403137 0.0391846 0.0377808
6,760,1,injection,10.0,0.265869140625,0.309814453125,0.1336669921875,0.0277252197265625,0.0281982421875,0.281982421875,0.0606617647058693,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,366 2932 304 1007 999,1.03125 0.116211 0.056366 0.0516968 0.0357971
7,727,1,injection,10.0,0.197998046875,0.327880859375,0.1031494140625,0.0218048095703125,0.0220947265625,0.2208251953125,0.04592303005685479,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,366 2932 304 999 1007,0.783203 0.105286 0.0534363 0.0349121 0.0249329
8,694,1,injection,10.0,0.1639404296875,0.336669921875,0.08270263671875,0.017669677734375,0.0175933837890625,0.1759033203125,0.0353186274509733,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2932 3940 4589 1007,366 2932 304 3940 1007,0.594238 0.102539 0.0393066 0.0263672 0.0211334
9,661,1,injection,10.0,0.1361083984375,0.34423828125,0.0670166015625,0.01445770263671875,0.0139923095703125,0.139892578125,0.026946952595931602,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 2932 3940 4589 1007,366 2932 304 3940 1007,0.46167 0.0933838 0.0449219 0.0261993 0.0233307
10,628,1,injection,10.0,0.11505126953125,0.35107421875,0.061614990234375,0.013275146484375,0.01261138916015625,0.1260986328125,0.023375271542356274,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2932 3940 4589 1007,366 2932 3940 304 4589,0.44043 0.0871582 0.0352783 0.0306854 0.0112991
11,595,1,injection,10.0,0.0985107421875,0.35302734375,0.05279541015625,0.01128387451171875,0.01059722900390625,0.10601806640625,0.01899273967809317,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2932 3940 4589 1007,366 2932 3940 304 4589,0.362793 0.0769653 0.0413818 0.0249023 0.0108643
12,562,1,injection,10.0,0.09130859375,0.356689453125,0.04449462890625,0.00958251953125,0.0090179443359375,0.0902099609375,0.01594872237568779,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2932 3940 4589,366 2932 3940 304 4589,0.265869 0.102539 0.0454407 0.0180817 0.00894928
13,529,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
