step_idx,timestep,baseline,early,mid,late,custom
0,958,0.08123779296875,0.08123779296875,0.08123779296875,0.08123779296875,0.08123779296875
1,925,0.3783111572265625,0.27184295654296875,0.3783111572265625,0.3783111572265625,0.27184295654296875
2,892,0.75927734375,0.19332122802734375,0.75927734375,0.75927734375,0.19332122802734375
3,859,1.4072265625,0.330596923828125,1.4072265625,1.4072265625,0.330596923828125
4,826,2.3525238037109375,0.24962997436523438,2.3525238037109375,2.3525238037109375,0.24962997436523438
5,793,3.567493438720703,0.47900390625,4.1944732666015625,3.567493438720703,0.40521240234375
6,760,4.477935791015625,0.736328125,5.783935546875,4.477935791015625,0.46435546875
7,727,5.21527099609375,1.08349609375,7.620361328125,5.21527099609375,0.4384918212890625
8,694,5.54248046875,1.5737724304199219,9.6441650390625,5.54248046875,0.49462890625
9,661,5.73382568359375,2.0202713012695312,11.61962890625,5.73382568359375,0.47412109375
10,628,5.775634765625,2.4280662536621094,13.30322265625,5.775634765625,0.4268798828125
11,595,5.8165283203125,2.7612228393554688,14.706878662109375,5.8165283203125,0.36219024658203125
12,562,5.85595703125,2.9759788513183594,15.226348876953125,5.85595703125,0.34958648681640625
13,529,5.81976318359375,3.20159912109375,14.83978271484375,5.81976318359375,0.3716773986816406
14,496,5.845771789550781,3.3495941162109375,14.48760986328125,6.311698913574219,0.5097007751464844
15,463,5.866302490234375,3.493255615234375,14.085880279541016,6.7392578125,0.6198577880859375
16,430,5.87872314453125,3.61126708984375,13.784576416015625,7.168701171875,0.725616455078125
17,397,5.861328125,3.76153564453125,13.509571075439453,7.610595703125,0.8177108764648438
18,364,5.80517578125,3.86199951171875,13.300521850585938,8.19757080078125,0.8063316345214844
19,331,5.8485107421875,3.89727783203125,13.1595458984375,8.925605773925781,0.8246383666992188
20,298,5.842750549316406,3.93365478515625,13.052490234375,9.647438049316406,0.7236175537109375
21,265,5.9518280029296875,3.9292144775390625,12.9493408203125,10.4859619140625,0.6526870727539062
22,232,6.0102691650390625,3.9220352172851562,12.882232666015625,11.2513427734375,0.5473175048828125
23,199,6.0626220703125,3.941295623779297,12.78961181640625,11.470947265625,0.52825927734375
24,166,6.11614990234375,3.9762191772460938,12.69830322265625,11.4854736328125,0.5128021240234375
25,133,6.175628662109375,3.9218902587890625,12.4876708984375,11.335693359375,0.5042648315429688
26,100,6.193328857421875,3.9542694091796875,12.277130126953125,11.19921875,0.4525604248046875
27,67,6.185150146484375,3.9837265014648438,11.964946746826172,10.711875915527344,0.41912078857421875
28,34,5.89324951171875,4.021522521972656,11.099388122558594,10.155799865722656,0.36038970947265625
29,1,4.0028228759765625,3.4605865478515625,7.797332763671875,7.397590637207031,0.3818702697753906
