step_idx,timestep,baseline,main,early,late
0,958,5.069705963134766,5.069705963134766,5.069705963134766,5.069705963134766
1,925,6.827484130859375,6.827484130859375,6.657257080078125,6.827484130859375
2,892,6.748146057128906,6.748146057128906,5.8107147216796875,6.748146057128906
3,859,5.1482086181640625,5.1482086181640625,3.5867843627929688,5.1482086181640625
4,826,5.092559814453125,5.092559814453125,3.698333740234375,5.092559814453125
5,793,5.170501708984375,5.1392059326171875,4.143829345703125,5.170501708984375
6,760,5.238189697265625,5.168914794921875,4.499969482421875,5.238189697265625
7,727,5.324432373046875,5.32806396484375,4.652378082275391,5.324432373046875
8,694,5.53125,5.5911865234375,4.77178955078125,5.53125
9,661,5.8463134765625,5.693756103515625,4.822906494140625,5.8463134765625
10,628,5.97705078125,5.611114501953125,4.91033935546875,5.97705078125
11,595,5.9124755859375,5.36981201171875,4.88983154296875,5.9124755859375
12,562,5.87359619140625,5.3712158203125,4.938262939453125,5.87359619140625
13,529,5.7884521484375,5.3321075439453125,4.93731689453125,5.7884521484375
14,496,5.779388427734375,5.2628936767578125,4.9552001953125,5.73114013671875
15,463,5.752899169921875,5.185394287109375,4.8493499755859375,5.7418212890625
16,430,5.7622833251953125,5.13555908203125,4.759239196777344,5.754791259765625
17,397,5.80743408203125,5.1092529296875,4.676694869995117,5.72552490234375
18,364,5.7989349365234375,5.0490264892578125,4.612476348876953,5.75091552734375
19,331,5.767204284667969,4.97796630859375,4.492015838623047,5.7185516357421875
20,298,5.7109832763671875,4.984443664550781,4.366115570068359,5.736560821533203
21,265,5.7038726806640625,4.9349212646484375,4.296283721923828,5.651920318603516
22,232,5.6478271484375,4.887062072753906,4.226215362548828,5.554271697998047
23,199,5.677555084228516,4.8312225341796875,4.184757232666016,5.511192321777344
24,166,5.6796112060546875,4.662727355957031,4.170127868652344,5.408573150634766
25,133,5.578517913818359,4.50946044921875,4.151664733886719,5.306144714355469
26,100,5.499504089355469,4.313316345214844,4.112834930419922,5.132545471191406
27,67,5.406482696533203,4.1656494140625,4.080711364746094,5.0045928955078125
28,34,5.173423767089844,3.9048309326171875,3.9812583923339844,4.789283752441406
29,1,4.2745819091796875,3.4136810302734375,3.7665557861328125,3.7947998046875
