step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,5.0,0.063232421875,0.408447265625,0.026397705078125,0.00576019287109375,0.005802154541015625,0.0290069580078125,0.009907646764506289
5,793,1,injection,5.0,0.098388671875,0.42138671875,0.046539306640625,0.01015472412109375,0.010284423828125,0.051422119140625,0.01735538892550502
6,760,1,injection,5.0,0.1409912109375,0.4326171875,0.07904052734375,0.0172576904296875,0.0175323486328125,0.08770751953125,0.029293052837563602
7,727,1,injection,5.0,0.19482421875,0.43994140625,0.12005615234375,0.0261993408203125,0.0266876220703125,0.1334228515625,0.044158047834503805
8,694,1,injection,5.0,0.256103515625,0.434814453125,0.1610107421875,0.035125732421875,0.035858154296875,0.17919921875,0.05881410256408326
9,661,1,injection,5.0,0.32421875,0.431884765625,0.212646484375,0.04638671875,0.047454833984375,0.2371826171875,0.0772503180661326
10,628,1,injection,5.0,0.38232421875,0.4287109375,0.255859375,0.0557861328125,0.0572509765625,0.286376953125,0.09256628787875795
11,595,1,injection,5.0,0.43310546875,0.42626953125,0.291015625,0.06353759765625,0.06524658203125,0.326416015625,0.10471491228066816
12,562,1,injection,5.0,0.4755859375,0.42431640625,0.318359375,0.0694580078125,0.0714111328125,0.35693359375,0.11386292834887334
13,529,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
