step_idx,timestep,baseline,main,early,late
0,958,0.0688629150390625,0.0688629150390625,0.0688629150390625,0.0688629150390625
1,925,0.1795654296875,0.1795654296875,0.179718017578125,0.1795654296875
2,892,0.236541748046875,0.236541748046875,0.237945556640625,0.236541748046875
3,859,0.375335693359375,0.375335693359375,0.38687896728515625,0.375335693359375
4,826,0.6319122314453125,0.6319122314453125,0.711639404296875,0.6319122314453125
5,793,0.87982177734375,0.98382568359375,0.9678192138671875,0.87982177734375
6,760,1.061981201171875,1.410552978515625,1.1871337890625,1.061981201171875
7,727,1.2073516845703125,1.947174072265625,1.371917724609375,1.2073516845703125
8,694,1.3314704895019531,2.5605926513671875,1.5008735656738281,1.3314704895019531
9,661,1.4963455200195312,3.2426223754882812,1.637054443359375,1.4963455200195312
10,628,1.6148490905761719,3.8219356536865234,1.7618980407714844,1.6148490905761719
11,595,1.6556243896484375,4.3287506103515625,1.8552017211914062,1.6556243896484375
12,562,1.6633071899414062,4.756340026855469,1.8721084594726562,1.6633071899414062
13,529,1.6163501739501953,5.168048858642578,1.8247299194335938,1.6163501739501953
14,496,1.553131103515625,5.20094108581543,1.785614013671875,1.727569580078125
15,463,1.5788726806640625,5.266223907470703,1.7680320739746094,1.9494094848632812
16,430,1.628692626953125,5.34375,1.8295822143554688,2.1687774658203125
17,397,1.6984939575195312,5.4488525390625,1.9380950927734375,2.4165267944335938
18,364,1.7759819030761719,5.5732421875,2.034564971923828,2.7168121337890625
19,331,1.8358154296875,5.691913604736328,2.080078125,2.927734375
20,298,1.920654296875,5.7872772216796875,2.1749267578125,3.2481689453125
21,265,2.038442611694336,5.8898162841796875,2.2817211151123047,3.55078125
22,232,2.147235870361328,5.921939849853516,2.3729248046875,3.9385986328125
23,199,2.2856311798095703,5.9493560791015625,2.5272579193115234,4.314779281616211
24,166,2.438262939453125,5.922798156738281,2.6594181060791016,4.691928863525391
25,133,2.5442543029785156,5.926506042480469,2.7886924743652344,5.042594909667969
26,100,2.6226959228515625,5.889137268066406,2.8587379455566406,5.3905487060546875
27,67,2.7229270935058594,5.863872528076172,2.9467391967773438,5.809356689453125
28,34,2.701427459716797,5.7912445068359375,2.915374755859375,6.098579406738281
29,1,2.6522216796875,4.9847412109375,2.759674072265625,5.5882568359375
