step_idx,timestep,baseline,main,early,late
0,958,5.069705963134766,5.069705963134766,5.069705963134766,5.069705963134766
1,925,6.827484130859375,6.827484130859375,6.5939483642578125,6.827484130859375
2,892,6.748146057128906,6.748146057128906,5.95574951171875,6.748146057128906
3,859,5.1482086181640625,5.1482086181640625,6.224334716796875,5.1482086181640625
4,826,5.092559814453125,5.092559814453125,4.3931884765625,5.092559814453125
5,793,5.170501708984375,2.4591522216796875,4.802188873291016,5.170501708984375
6,760,5.238189697265625,4.413478851318359,6.946380615234375,5.238189697265625
7,727,5.324432373046875,5.8743133544921875,7.04841423034668,5.324432373046875
8,694,5.53125,3.6770172119140625,6.911916732788086,5.53125
9,661,5.8463134765625,4.0968475341796875,6.744224548339844,5.8463134765625
10,628,5.97705078125,4.114997863769531,6.60107421875,5.97705078125
11,595,5.9124755859375,4.67266845703125,6.4798583984375,5.9124755859375
12,562,5.87359619140625,4.17041015625,6.294189453125,5.87359619140625
13,529,5.7884521484375,3.7957916259765625,6.1567535400390625,5.7884521484375
14,496,5.779388427734375,3.1349334716796875,5.918308258056641,5.079833984375
15,463,5.752899169921875,2.7296142578125,5.732830047607422,4.82769775390625
16,430,5.7622833251953125,2.4989395141601562,5.646484375,4.77166748046875
17,397,5.80743408203125,2.475006103515625,5.63201904296875,4.2851104736328125
18,364,5.7989349365234375,2.5450973510742188,5.597198486328125,3.8622055053710938
19,331,5.767204284667969,2.4418792724609375,5.504547119140625,3.2824363708496094
20,298,5.7109832763671875,2.3089828491210938,5.4556732177734375,2.9469871520996094
21,265,5.7038726806640625,2.23052978515625,5.3505859375,2.6104507446289062
22,232,5.6478271484375,2.1407241821289062,5.203681945800781,2.3876953125
23,199,5.677555084228516,2.138397216796875,5.108741760253906,2.242919921875
24,166,5.6796112060546875,2.062610626220703,5.0811767578125,2.173980712890625
25,133,5.578517913818359,1.9361419677734375,4.9575347900390625,2.117889404296875
26,100,5.499504089355469,1.8014411926269531,4.855600357055664,2.075927734375
27,67,5.406482696533203,1.6979217529296875,4.775276184082031,1.8560791015625
28,34,5.173423767089844,1.47601318359375,4.7046051025390625,1.59979248046875
29,1,4.2745819091796875,0.9816818237304688,4.3750152587890625,1.2054061889648438
