step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,5.0,0.17333984375,0.355712890625,0.0743408203125,0.0154266357421875,0.01555633544921875,0.0777587890625,0.01593775020015686
14,496,1,injection,5.0,0.1859130859375,0.34765625,0.07672119140625,0.01568603515625,0.0158538818359375,0.07928466796875,0.01615993232483747
15,463,1,injection,5.0,0.2060546875,0.3388671875,0.079833984375,0.0162811279296875,0.0164337158203125,0.0821533203125,0.01665182106096258
16,430,1,injection,5.0,0.2135009765625,0.33349609375,0.0826416015625,0.0167236328125,0.016937255859375,0.084716796875,0.017103706624602224
17,397,1,injection,5.0,0.21240234375,0.325927734375,0.07708740234375,0.01568603515625,0.01580810546875,0.07904052734375,0.01589503142183498
18,364,1,injection,5.0,0.204345703125,0.3154296875,0.06890869140625,0.01406097412109375,0.0141754150390625,0.07086181640625,0.014194542253518284
19,331,1,injection,5.0,0.2159423828125,0.300537109375,0.06817626953125,0.01383209228515625,0.0139312744140625,0.06964111328125,0.013906493759747613
20,298,1,injection,5.0,0.227294921875,0.2841796875,0.0670166015625,0.01364898681640625,0.01371002197265625,0.06854248046875,0.013644537325036165
21,265,1,injection,5.0,0.2244873046875,0.27099609375,0.06390380859375,0.01300811767578125,0.0130767822265625,0.0654296875,0.012974438419827016
22,232,1,injection,5.0,0.2205810546875,0.2568359375,0.0592041015625,0.0120086669921875,0.01204681396484375,0.06024169921875,0.01190878378378143
23,199,1,injection,5.0,0.214111328125,0.2471923828125,0.05682373046875,0.01145172119140625,0.011474609375,0.057403564453125,0.011312788683600541
24,166,1,injection,5.0,0.22314453125,0.237548828125,0.058837890625,0.01177978515625,0.011810302734375,0.05908203125,0.011616743471579897
25,133,1,injection,5.0,0.230712890625,0.231201171875,0.061920166015625,0.01233673095703125,0.0123748779296875,0.0618896484375,0.012159439754410504
26,100,1,injection,5.0,0.2220458984375,0.2265625,0.0604248046875,0.01201629638671875,0.0120849609375,0.0604248046875,0.011871642363773569
27,67,1,injection,5.0,0.2247314453125,0.2174072265625,0.0638427734375,0.01267242431640625,0.0127410888671875,0.063720703125,0.012548076923074452
28,34,1,injection,5.0,0.24267578125,0.197998046875,0.067626953125,0.013397216796875,0.01348114013671875,0.0673828125,0.013351393188851843
29,1,1,injection,5.0,0.250244140625,0.1441650390625,0.08758544921875,0.017669677734375,0.017852783203125,0.0892333984375,0.01855706742485398
