step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,5.0,0.042724609375,0.410888671875,0.0100250244140625,0.00212860107421875,0.00214385986328125,0.01071929931640625,0.0020372239235333916
14,496,1,injection,5.0,0.035400390625,0.401611328125,0.007843017578125,0.0016698837280273438,0.0016717910766601562,0.00835418701171875,0.0015877296770598318
15,463,1,injection,5.0,0.0285491943359375,0.390380859375,0.005840301513671875,0.001247406005859375,0.0012674331665039062,0.006336212158203125,0.0012033162555635697
16,430,1,injection,5.0,0.0233154296875,0.378662109375,0.004764556884765625,0.0010271072387695312,0.001064300537109375,0.005321502685546875,0.001009862629725531
17,397,1,injection,5.0,0.00942230224609375,0.3662109375,0.0021610260009765625,0.0004723072052001953,0.0004992485046386719,0.0024967193603515625,0.0004734519675925028
18,364,1,injection,5.0,0.0029468536376953125,0.35546875,0.0008039474487304688,0.0001780986785888672,0.0002015829086303711,0.0010080337524414062,0.00019129476695696888
19,331,1,injection,5.0,0.0029315948486328125,0.347900390625,0.0007886886596679688,0.0001747608184814453,0.00019741058349609375,0.0009870529174804688,0.0001875913488306993
20,298,1,injection,5.0,0.00513458251953125,0.3388671875,0.0009264945983886719,0.00020360946655273438,0.00022399425506591797,0.0011196136474609375,0.00021325974237347128
21,265,1,injection,5.0,0.005523681640625,0.32763671875,0.0008649826049804688,0.00019049644470214844,0.00020992755889892578,0.0010499954223632812,0.0002005961403917527
22,232,1,injection,5.0,0.00669097900390625,0.31689453125,0.0013217926025390625,0.0002911090850830078,0.00029754638671875,0.00148773193359375,0.0002855017803597653
23,199,1,injection,5.0,0.00861358642578125,0.306396484375,0.0023479461669921875,0.0005173683166503906,0.0005021095275878906,0.00251007080078125,0.000484233703843162
24,166,1,injection,5.0,0.00864410400390625,0.29541015625,0.00255584716796875,0.0005626678466796875,0.0005450248718261719,0.0027256011962890625,0.0005290022033736653
25,133,1,injection,5.0,0.007564544677734375,0.28271484375,0.0031185150146484375,0.0006861686706542969,0.0006594657897949219,0.0032978057861328125,0.000644949030748537
26,100,1,injection,5.0,0.00774383544921875,0.2666015625,0.003147125244140625,0.0006928443908691406,0.0006680488586425781,0.0033397674560546875,0.0006591985109867627
27,67,1,injection,5.0,0.007686614990234375,0.24169921875,0.00299835205078125,0.000659942626953125,0.0006384849548339844,0.003192901611328125,0.0006380818208429638
28,34,1,injection,5.0,0.00971221923828125,0.20654296875,0.0032901763916015625,0.00072479248046875,0.0007219314575195312,0.00360870361328125,0.000735531946655901
29,1,1,injection,5.0,0.00701904296875,0.11383056640625,0.00141143798828125,0.0003077983856201172,0.00033164024353027344,0.0016584396362304688,0.0003714440480095406
