step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,5.0,0.07763671875,0.4736328125,0.05914306640625,0.0125579833984375,0.01242828369140625,0.0621337890625,0.012869134304204454
5,793,1,injection,5.0,0.0438232421875,0.490966796875,0.03173828125,0.006744384765625,0.006626129150390625,0.033111572265625,0.006658729379417356
6,760,1,injection,5.0,0.036346435546875,0.48974609375,0.0245513916015625,0.005214691162109375,0.00513458251953125,0.025665283203125,0.005054086538460543
7,727,1,injection,5.0,0.043548583984375,0.472412109375,0.0240325927734375,0.005115509033203125,0.005077362060546875,0.025390625,0.004942965779466718
8,694,1,injection,5.0,0.033935546875,0.466064453125,0.0168914794921875,0.0035953521728515625,0.0035648345947265625,0.017822265625,0.0034382064807830593
9,661,1,injection,5.0,0.0298919677734375,0.453857421875,0.01275634765625,0.0027179718017578125,0.00270843505859375,0.01354217529296875,0.0025910290545585477
10,628,1,injection,5.0,0.0274505615234375,0.438232421875,0.010040283203125,0.002140045166015625,0.00215911865234375,0.01079559326171875,0.0020578346053607395
11,595,1,injection,5.0,0.0322265625,0.43115234375,0.0109405517578125,0.0023326873779296875,0.0023212432861328125,0.0116119384765625,0.0022117978050591024
12,562,1,injection,5.0,0.04315185546875,0.419921875,0.01275634765625,0.0027179718017578125,0.002719879150390625,0.01360321044921875,0.002589161245352667
13,529,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
