step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,5.0,0.89013671875,2.50390625,2.798828125,0.51171875,0.51123046875,2.556640625,0.7899818949907034
1,925,1,injection,5.0,4.4609375,1.7509765625,1.07421875,0.1817626953125,0.1873779296875,0.9365234375,0.24960957834454564
2,892,1,injection,5.0,4.74609375,1.658203125,6.5546875,1.2197265625,1.2373046875,6.1875,1.605676634566233
3,859,1,injection,5.0,2.64453125,1.7041015625,5.5078125,0.95166015625,0.97314453125,4.8671875,1.3262373602976694
4,826,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
