step_idx,timestep,baseline,main,early,late
0,958,8.899162292480469,8.899162292480469,8.899162292480469,8.899162292480469
1,925,12.8101806640625,12.8101806640625,44.6197509765625,12.8101806640625
2,892,11.799072265625,11.799072265625,47.44873046875,11.799072265625
3,859,14.310501098632812,14.310501098632812,26.437103271484375,14.310501098632812
4,826,15.510299682617188,15.510299682617188,30.13671875,15.510299682617188
5,793,16.157852172851562,21.0006103515625,29.8828125,16.157852172851562
6,760,16.356842041015625,23.892547607421875,29.830078125,16.356842041015625
7,727,16.73956298828125,16.8087158203125,29.45661163330078,16.73956298828125
8,694,17.2095947265625,16.36669921875,29.29296875,17.2095947265625
9,661,17.458251953125,14.604293823242188,29.322265625,17.458251953125
10,628,17.73504638671875,16.30902099609375,29.43194580078125,17.73504638671875
11,595,18.1202392578125,13.470458984375,29.44891357421875,18.1202392578125
12,562,18.320556640625,16.063583374023438,29.237396240234375,18.320556640625
13,529,18.438720703125,14.237213134765625,28.77471923828125,18.438720703125
14,496,18.65380859375,14.467254638671875,28.20703125,25.165359497070312
15,463,18.697853088378906,14.77294921875,27.544921875,35.16093444824219
16,430,18.5755615234375,14.873489379882812,27.232101440429688,24.793716430664062
17,397,18.37939453125,15.085617065429688,26.941574096679688,23.2105712890625
18,364,18.0780029296875,15.131118774414062,26.663909912109375,19.62841796875
19,331,18.191650390625,15.360916137695312,26.064483642578125,20.3604736328125
20,298,18.3416748046875,14.843292236328125,25.466445922851562,23.6917724609375
21,265,18.6551513671875,14.648422241210938,25.011215209960938,28.943359375
22,232,19.0386962890625,14.413818359375,24.4615478515625,31.12890625
23,199,19.293716430664062,14.20501708984375,23.67779541015625,37.08349609375
24,166,19.655181884765625,14.036666870117188,23.58758544921875,41.4921875
25,133,19.49285888671875,14.042823791503906,23.322647094726562,48.47119140625
26,100,19.684890747070312,13.967422485351562,23.051223754882812,50.94873046875
27,67,19.895614624023438,13.97802734375,22.031494140625,46.560546875
28,34,20.651535034179688,13.3792724609375,21.35980224609375,43.76153564453125
29,1,21.56695556640625,12.778594970703125,20.5343017578125,44.8515625
