step_idx,timestep,baseline,main,early,late
0,958,4.29742431640625,4.29742431640625,3.8141250610351562,4.29742431640625
1,925,10.2745361328125,10.2745361328125,10.57598876953125,10.2745361328125
2,892,11.352203369140625,11.352203369140625,7.56878662109375,11.352203369140625
3,859,13.1871337890625,13.1871337890625,8.759521484375,13.1871337890625
4,826,14.805351257324219,14.909423828125,9.555908203125,14.805351257324219
5,793,16.131195068359375,15.139007568359375,10.293876647949219,16.131195068359375
6,760,17.265228271484375,14.963043212890625,11.56982421875,17.265228271484375
7,727,18.4381103515625,15.562789916992188,12.668724060058594,18.4381103515625
8,694,19.14190673828125,16.437576293945312,12.798095703125,19.14190673828125
9,661,19.4263916015625,17.877105712890625,13.404052734375,19.4263916015625
10,628,19.6558837890625,19.890869140625,14.1434326171875,19.6558837890625
11,595,19.9134521484375,21.9287109375,14.8536376953125,19.9134521484375
12,562,19.9739990234375,25.35400390625,15.28662109375,19.9739990234375
13,529,20.08599853515625,32.46539306640625,15.73388671875,20.8802490234375
14,496,20.55096435546875,31.7005615234375,16.203125,19.792465209960938
15,463,20.756103515625,32.077880859375,16.50775146484375,19.79901123046875
16,430,20.730255126953125,31.90234375,16.863861083984375,20.74188232421875
17,397,20.414306640625,31.74139404296875,17.190765380859375,22.3863525390625
18,364,19.95880126953125,31.1429443359375,17.495361328125,25.177589416503906
19,331,19.734527587890625,30.8463134765625,17.51904296875,30.094482421875
20,298,19.75189208984375,31.01568603515625,17.4412841796875,39.25927734375
21,265,19.932357788085938,31.354171752929688,17.51190185546875,46.117034912109375
22,232,20.025619506835938,31.39520263671875,17.8856201171875,49.18629455566406
23,199,19.843612670898438,31.506591796875,17.83685302734375,50.0318603515625
24,166,19.953659057617188,31.478378295898438,18.43231201171875,49.5059814453125
25,133,19.767608642578125,31.331039428710938,18.9759521484375,49.63665771484375
26,100,19.79632568359375,31.40948486328125,19.5330810546875,49.46307373046875
27,67,19.596343994140625,30.79150390625,20.86627197265625,48.74072265625
28,34,19.4658203125,29.880767822265625,23.44024658203125,48.71412658691406
29,1,18.57464599609375,30.332763671875,24.494384765625,46.64567565917969
