block,step_idx,timestep,top1_feature_id,top1_score,topk_mass,topk_ids,topk_scores
unet.up_blocks.0.attentions.1,0,958,3936,5.7421875,34.9375,3936 4526 32 1288 614 3888 4163 2727 500 3078,5.742188 3.937500 3.779297 3.656250 3.464844 3.320312 3.148438 2.734375 2.648438 2.503906
unet.up_blocks.0.attentions.1,1,925,2727,5.4296875,30.46875,2727 4526 32 3936 3078 614 1288 3888 1563 4868,5.429688 4.167969 3.292969 3.210938 2.906250 2.732422 2.644531 2.238281 1.929688 1.915039
unet.up_blocks.0.attentions.1,2,892,2727,5.46875,34.78125,2727 32 3936 4526 604 3078 2600 1288 1973 2429,5.468750 5.085938 4.535156 4.156250 3.714844 2.785156 2.632812 2.341797 2.144531 1.904297
unet.up_blocks.0.attentions.1,3,859,2727,6.04296875,38.5625,2727 3936 604 3078 1283 32 1923 2164 500 1973,6.042969 5.917969 4.496094 3.748047 3.484375 3.193359 3.115234 2.982422 2.955078 2.611328
unet.up_blocks.0.attentions.1,4,826,2727,7.37890625,42.65625,2727 3936 1923 604 1283 3078 505 500 2164 4521,7.378906 6.332031 4.593750 4.343750 3.818359 3.681641 3.515625 3.021484 3.019531 2.945312
unet.up_blocks.0.attentions.1,5,793,2727,8.03125,44.4375,2727 3936 1923 604 1283 3078 505 2778 500 4521,8.031250 6.410156 5.437500 4.066406 3.830078 3.822266 3.730469 3.113281 3.007812 2.990234
unet.up_blocks.0.attentions.1,6,760,2727,8.609375,45.1875,2727 3936 1923 604 1283 505 3078 2778 4521 500,8.609375 6.175781 5.996094 3.822266 3.810547 3.730469 3.687500 3.259766 3.160156 2.925781
unet.up_blocks.0.attentions.1,7,727,2727,9.4375,45.34375,2727 1923 3936 3078 505 1283 604 4521 2778 1973,9.437500 6.324219 5.921875 3.767578 3.683594 3.507812 3.339844 3.240234 3.201172 2.933594
unet.up_blocks.0.attentions.1,8,694,2727,10.203125,45.15625,2727 1923 3936 3078 505 2778 1283 4521 1973 604,10.203125 6.355469 6.003906 3.759766 3.566406 3.208984 3.203125 3.066406 2.919922 2.857422
unet.up_blocks.0.attentions.1,9,661,2727,10.5625,44.0625,2727 1923 3936 3078 505 2778 4521 1283 1973 3460,10.562500 6.054688 5.871094 3.605469 3.457031 3.246094 2.914062 2.890625 2.763672 2.693359
unet.up_blocks.0.attentions.1,10,628,2727,10.921875,43.09375,2727 3936 1923 3078 505 2778 4521 3460 1973 1283,10.921875 5.644531 5.515625 3.580078 3.304688 3.099609 2.880859 2.792969 2.697266 2.654297
unet.up_blocks.0.attentions.1,11,595,2727,11.3203125,42.3125,2727 3936 1923 3078 505 2778 3460 4521 500 1973,11.320312 5.585938 4.945312 3.423828 3.191406 3.037109 2.818359 2.732422 2.638672 2.625000
unet.up_blocks.0.attentions.1,12,562,2727,11.65625,41.125,2727 3936 1923 3078 2778 505 3460 4521 500 2041,11.656250 5.585938 4.390625 3.181641 2.939453 2.912109 2.904297 2.634766 2.492188 2.416016
unet.up_blocks.0.attentions.1,13,529,2727,11.875,40.0,2727 3936 1923 3078 3460 2778 505 4521 500 1973,11.875000 5.566406 4.000000 3.033203 2.933594 2.861328 2.617188 2.445312 2.394531 2.261719
unet.up_blocks.0.attentions.1,14,496,2727,12.1875,39.125,2727 3936 1923 3460 2778 3078 505 500 4521 1973,12.187500 5.515625 3.669922 2.900391 2.794922 2.759766 2.380859 2.333984 2.316406 2.277344
unet.up_blocks.0.attentions.1,15,463,2727,12.375,37.9375,2727 3936 1923 3460 2778 3078 1973 500 505 4521,12.375000 5.296875 3.361328 2.796875 2.691406 2.537109 2.244141 2.236328 2.210938 2.181641
