block,step_idx,timestep,feature_ids,feature_scores,top1_in_set_feature_id,top1_in_set_score,set_mass
unet.up_blocks.0.attentions.1,0,958,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.010262 0.000000,275,0.01026153564453125,0.01026153564453125
unet.up_blocks.0.attentions.1,1,925,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.020569 0.014709,275,0.02056884765625,0.0352783203125
unet.up_blocks.0.attentions.1,2,892,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.028030 0.000000 0.000000 0.000000 0.030380 0.015427,275,0.0303802490234375,0.0738372802734375
unet.up_blocks.0.attentions.1,3,859,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.160889 0.000000,275,0.160888671875,0.160888671875
unet.up_blocks.0.attentions.1,4,826,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.203247 0.000000,275,0.2032470703125,0.2032470703125
unet.up_blocks.0.attentions.1,5,793,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.283203 0.000000,275,0.283203125,0.283203125
unet.up_blocks.0.attentions.1,6,760,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.323730 0.000000,275,0.32373046875,0.32373046875
unet.up_blocks.0.attentions.1,7,727,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369873 0.000000,275,0.369873046875,0.369873046875
unet.up_blocks.0.attentions.1,8,694,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.338867 0.000000,275,0.3388671875,0.3388671875
unet.up_blocks.0.attentions.1,9,661,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.330322 0.000000,275,0.330322265625,0.330322265625
unet.up_blocks.0.attentions.1,10,628,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.260742 0.000000,275,0.2607421875,0.2607421875
unet.up_blocks.0.attentions.1,11,595,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.245483 0.000000,275,0.2454833984375,0.2454833984375
unet.up_blocks.0.attentions.1,12,562,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.205811 0.000000,275,0.205810546875,0.205810546875
unet.up_blocks.0.attentions.1,13,529,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.169922 0.000000,275,0.169921875,0.169921875
unet.up_blocks.0.attentions.1,14,496,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.153076 0.000000,275,0.153076171875,0.153076171875
unet.up_blocks.0.attentions.1,15,463,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.096069 0.000000,275,0.0960693359375,0.0960693359375
unet.up_blocks.0.attentions.1,16,430,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.101562 0.000000,275,0.1015625,0.1015625
unet.up_blocks.0.attentions.1,17,397,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.102478 0.000000,275,0.10247802734375,0.10247802734375
unet.up_blocks.0.attentions.1,18,364,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.079102 0.000000,275,0.0791015625,0.0791015625
unet.up_blocks.0.attentions.1,19,331,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034119 0.000000,275,0.03411865234375,0.03411865234375
unet.up_blocks.0.attentions.1,20,298,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034515 0.000000,275,0.034515380859375,0.034515380859375
unet.up_blocks.0.attentions.1,21,265,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034546 0.000000,275,0.0345458984375,0.0345458984375
unet.up_blocks.0.attentions.1,22,232,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034149 0.000000,275,0.034149169921875,0.034149169921875
unet.up_blocks.0.attentions.1,23,199,1102 3865 3607 3809 1517 1603 3873 4259 275 2057,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.049622 0.000000,275,0.04962158203125,0.04962158203125
