rank,feature_id,score
1,2495,-0.0057771457359194756
2,1772,-0.0031539034098386765
3,1968,-0.001720266416668892
4,877,-0.001669320510700345
5,2275,-0.0014553924556821585
6,4394,-0.00141409900970757
7,2963,-0.0013894725125283003
8,4733,-0.0013187179574742913
9,3044,-0.0012937878491356969
10,3184,-0.0012777282390743494
11,3308,-0.0011293209390714765
12,217,-0.0010766505729407072
13,3198,-0.0010706468019634485
14,1798,-0.001069936086423695
15,1711,-0.0010152757167816162
16,1448,-0.0010085776448249817
17,2298,-0.0009902619058266282
18,3029,-0.0009827346075326204
19,133,-0.0009790855692699552
20,699,-0.0009713172912597656
21,460,-0.0009511467069387436
22,4764,-0.0009307049913331866
23,2756,-0.0009214699384756386
24,750,-0.0009213105076923966
25,3434,-0.0009074400877580047
26,1616,-0.0008981454884633422
27,3242,-0.0008597429841756821
28,3192,-0.0008181206649169326
29,2251,-0.0008157843840308487
30,3034,-0.000811084930319339
31,3906,-0.0008036555955186486
32,3202,-0.0007887941901572049
33,1336,-0.0007870776462368667
34,272,-0.0007834473508410156
35,3052,-0.0007814985583536327
36,4332,-0.0007678513647988439
37,1646,-0.0007414643187075853
38,4289,-0.0007383393822237849
39,2665,-0.0007322913152165711
40,451,-0.0007158279186114669
41,4506,-0.0007149350130930543
42,1869,-0.0007147324504330754
43,1922,-0.0007144854171201587
44,3955,-0.0007117419736459851
45,904,-0.0007106378907337785
46,2736,-0.0006999343750067055
47,1962,-0.0006639850325882435
48,786,-0.000657920609228313
49,4100,-0.0006565612857230008
50,2634,-0.0006529571837745607
