rank,feature_id,score
1,2766,0.004407333675771952
2,4009,0.0033963751047849655
3,3866,0.003092956729233265
4,2091,0.002212256658822298
5,3044,0.0021688160486519337
6,1546,0.0020931647159159184
7,2717,0.0016205046558752656
8,1711,0.001557696727104485
9,1030,0.0013310236390680075
10,4601,0.0012845605378970504
11,4611,0.0012248096754774451
12,3803,0.0011953061912208796
13,4332,0.0010609370656311512
14,2932,0.0010568529833108187
15,1650,0.0009632445871829987
16,3257,0.0009545452776364982
17,3010,0.0009079065057449043
18,2122,0.0008802463999018073
19,3235,0.0008560704882256687
20,765,0.0008547272300347686
21,3186,0.0008494865032844245
22,3611,0.0007783133769407868
23,3128,0.0007561101811006665
24,639,0.0007545964326709509
25,3250,0.0007415326545014977
26,3690,0.0007350832456722856
27,1508,0.0007215281366370618
28,970,0.0007154110935516655
29,1603,0.000706277322024107
30,4527,0.0006685747648589313
31,1730,0.0006641863146796823
32,4045,0.000654489325825125
33,2995,0.000643671490252018
34,2991,0.0006198914488777518
35,1056,0.0005916687077842653
36,304,0.0005874455673620105
37,2504,0.0005856701172888279
38,4906,0.0005852871108800173
39,1620,0.0005833726027049124
40,4633,0.0005814635078422725
41,2875,0.0005724203656427562
42,999,0.000570208765566349
43,2928,0.0005651332321576774
44,1296,0.0005593469832092524
45,2457,0.0005510266637429595
46,3820,0.0005499626277014613
47,5087,0.0005456627113744617
48,4106,0.0005314133013598621
49,4614,0.0005304132937453687
50,535,0.000527318799868226
