rank,feature_id,score
1,2963,-0.004064957611262798
2,2495,-0.003309748601168394
3,3242,-0.00186842679977417
4,1102,-0.0014515469083562493
5,94,-0.0014111760538071394
6,1623,-0.0013676297385245562
7,997,-0.0012982689077034593
8,6,-0.0012143554631620646
9,1243,-0.0011566928587853909
10,5026,-0.0011503566056489944
11,3865,-0.0011129062622785568
12,136,-0.0010026867967098951
13,1798,-0.0009310085442848504
14,2617,-0.0009301028330810368
15,2941,-0.0009186621755361557
16,699,-0.0009113286505453289
17,2032,-0.0008918270468711853
18,4100,-0.00088116416009143
19,2442,-0.0008510883781127632
20,1336,-0.0008190657244995236
21,431,-0.0008174815448001027
22,4289,-0.0008076508529484272
23,272,-0.0007531685987487435
24,217,-0.0007407254306599498
25,1448,-0.0007347854552790523
26,2058,-0.0007075658650137484
27,3308,-0.0007058056071400642
28,3703,-0.0006933124968782067
29,3906,-0.0006801994168199599
30,1149,-0.0006628619157709181
31,3252,-0.000652977149002254
32,1867,-0.0006462963647209108
33,1371,-0.000636265380308032
34,3034,-0.0006301543908193707
35,3712,-0.0006240069633349776
36,222,-0.0006088959635235369
37,1555,-0.0005966267199255526
38,4233,-0.000583309680223465
39,2642,-0.0005822958773933351
40,4330,-0.0005811623414047062
41,3659,-0.0005787565605714917
42,3501,-0.0005781209329143167
43,4770,-0.000576399324927479
44,798,-0.0005722802015952766
45,3877,-0.0005623755278065801
46,5068,-0.000558121595531702
47,3944,-0.0005519019323401153
48,2554,-0.0005446558352559805
49,865,-0.0005432182224467397
50,836,-0.0005416896310634911
