rank,feature_id,score
1,2638,0.004247662611305714
2,2287,0.0032644153106957674
3,4832,0.00309229944832623
4,214,0.002981415716931224
5,4566,0.002973345573991537
6,1939,0.002159560564905405
7,258,0.0020590198691934347
8,642,0.0020313183777034283
9,2317,0.001962845679372549
10,161,0.0018894154345616698
11,1987,0.0015063302125781775
12,4068,0.0014689306262880564
13,2053,0.0014651522506028414
14,561,0.0014650681987404823
15,3685,0.001431586453691125
16,990,0.001407652162015438
17,1045,0.0013342538150027394
18,3818,0.001304993755184114
19,3935,0.001281554694287479
20,973,0.0012623892398551106
21,1300,0.0011524450965225697
22,4876,0.0011476489016786218
23,4442,0.0011465514544397593
24,2766,0.0011267296504229307
25,1958,0.0011146320030093193
26,1046,0.0010738805867731571
27,1696,0.0010495103197172284
28,3892,0.0010444683721289039
29,35,0.001041970681399107
30,4830,0.0010373520199209452
31,1819,0.0010336277773603797
32,4895,0.0010001345071941614
33,1077,0.0009975117864087224
34,4258,0.0009630246204324067
35,4346,0.0009627050021663308
36,1146,0.0009455358376726508
37,3365,0.0009048501960933208
38,1451,0.0008612629026174545
39,4125,0.0008604161557741463
40,4212,0.0008331996505148709
41,3111,0.0008266002987511456
42,2618,0.0008183544268831611
43,2746,0.0008092786301858723
44,1542,0.000808979501016438
45,3079,0.0007860969635657966
46,4240,0.0007831718539819121
47,3256,0.0007757846615277231
48,2653,0.000755644345190376
49,2221,0.0007543634856119752
50,1748,0.0007349796360358596
