rank,feature_id,score
1,3234,-0.0029130331240594387
2,1882,-0.0024240934289991856
3,966,-0.002345027169212699
4,624,-0.002246744465082884
5,946,-0.0019242955604568124
6,244,-0.001766378991305828
7,5046,-0.0017510226462036371
8,1486,-0.0017430298030376434
9,4738,-0.001696301274932921
10,745,-0.001678643748164177
11,4696,-0.0016693975776433945
12,2527,-0.0016514603048563004
13,1101,-0.0014971013879403472
14,2331,-0.0014340311754494905
15,4440,-0.0013609068701043725
16,4441,-0.0013564047403633595
17,931,-0.0012942866887897253
18,3697,-0.0012685670517385006
19,2797,-0.0012608914403244853
20,3039,-0.001222342485561967
21,2971,-0.0012174493167549372
22,2185,-0.001201372710056603
23,4939,-0.0011918476084247231
24,2567,-0.0011621153680607677
25,166,-0.0011517205275595188
26,3496,-0.0011171575170010328
27,3157,-0.0011073201894760132
28,3994,-0.0011044649872928858
29,3735,-0.0010886642849072814
30,3416,-0.0010712333023548126
31,1642,-0.0010177118238061666
32,4109,-0.0009963617194443941
33,1628,-0.0009909383952617645
34,1768,-0.000980693381279707
35,2095,-0.0009777751984074712
36,1617,-0.0009447190095670521
37,5084,-0.0009370173211209476
38,1241,-0.0009144743671640754
39,4875,-0.0009108014637604356
40,2616,-0.0009064687183126807
41,4273,-0.0008933964418247342
42,4422,-0.000884775654412806
43,2229,-0.000870509073138237
44,823,-0.0008705044165253639
45,155,-0.0008690006216056645
46,2584,-0.0008586868643760681
47,2518,-0.0008250848622992635
48,397,-0.0008166480693034828
49,282,-0.0007966959965415299
50,336,-0.0007948704878799617
