rank,feature_id,score
1,2038,-0.005111789330840111
2,3697,-0.0047583370469510555
3,1642,-0.00414190161973238
4,931,-0.002734541893005371
5,3234,-0.002727445214986801
6,864,-0.002556579653173685
7,4441,-0.0025380109436810017
8,745,-0.0025010164827108383
9,2797,-0.0024113093968480825
10,4939,-0.002259099157527089
11,1882,-0.0021981007885187864
12,4703,-0.0021954653784632683
13,336,-0.0021868832409381866
14,3065,-0.002160318661481142
15,3554,-0.0021152698900550604
16,2331,-0.002044485416263342
17,3157,-0.002007903065532446
18,4868,-0.0019602568354457617
19,2370,-0.0019391175592318177
20,3025,-0.0018324879929423332
21,576,-0.001785265514627099
22,884,-0.0017766051460057497
23,785,-0.0017136509995907545
24,1985,-0.0016998944338411093
25,4998,-0.0016846020007506013
26,1359,-0.0015983053017407656
27,5039,-0.001501044724136591
28,1260,-0.001467408030293882
29,3579,-0.0014663254842162132
30,2632,-0.001439172076061368
31,3800,-0.0014182432787492871
32,1583,-0.001397887128405273
33,966,-0.001389582408592105
34,4919,-0.0013895180309191346
35,584,-0.0013313333038240671
36,4493,-0.001317125977948308
37,2343,-0.0012917181011289358
38,3776,-0.0012426476459950209
39,445,-0.001205747714266181
40,2962,-0.001204455504193902
41,2971,-0.0011975143570452929
42,4694,-0.0011881428072229028
43,1486,-0.0011650025844573975
44,2955,-0.0011043273843824863
45,4738,-0.0010876856977120042
46,4657,-0.0010856708977371454
47,4541,-0.001040927367284894
48,3711,-0.001021776581183076
49,908,-0.0010090891737490892
50,994,-0.000992586137726903
