rank,feature_id,score
1,4406,-0.004396265838295221
2,3697,-0.0031190156005322933
3,3234,-0.002837677951902151
4,1604,-0.0026741917245090008
5,2038,-0.0026525564026087523
6,2343,-0.002602249849587679
7,1642,-0.0023106024600565434
8,1882,-0.0022824034094810486
9,2080,-0.0021929277572780848
10,3693,-0.002123215002939105
11,127,-0.002055670600384474
12,336,-0.0019942549988627434
13,966,-0.0019375408301129937
14,244,-0.001873541041277349
15,180,-0.0018129937816411257
16,2897,-0.0018125723581761122
17,871,-0.0016383184120059013
18,2527,-0.0015245683025568724
19,1260,-0.001518653123639524
20,1101,-0.0015075535047799349
21,5049,-0.0015000912826508284
22,1170,-0.0014412621967494488
23,540,-0.0013989291619509459
24,1950,-0.0013771895319223404
25,2962,-0.0013415968278422952
26,109,-0.0012950112577527761
27,2742,-0.0012189354747533798
28,3579,-0.0011870501330122352
29,3867,-0.0011802696390077472
30,2095,-0.0011773649603128433
31,2773,-0.001158114057034254
32,248,-0.0011465443531051278
33,2971,-0.001120021683163941
34,4070,-0.0011105888988822699
35,2111,-0.0011031224858015776
36,3578,-0.001100670313462615
37,2615,-0.0010838477173820138
38,2797,-0.0010810567764565349
39,2629,-0.0010806085774675012
40,1961,-0.001059957081452012
41,2052,-0.0010595755884423852
42,3160,-0.0010234395740553737
43,1858,-0.0010168107692152262
44,1810,-0.0010098663624376059
45,4896,-0.0010097099002450705
46,3779,-0.0010037163738161325
47,1543,-0.0010026778327301145
48,1208,-0.0010022474452853203
49,213,-0.0009950262028723955
50,743,-0.0009930797386914492
