rank,feature_id,score
1,1772,-0.002492483938112855
2,1968,-0.0020482889376580715
3,3629,-0.0015543920453637838
4,4076,-0.0015346375294029713
5,1336,-0.001504435553215444
6,3906,-0.0012902868911623955
7,4213,-0.00124071235768497
8,4733,-0.0010822087060660124
9,4766,-0.0010325285838916898
10,2091,-0.0009889715583994985
11,4394,-0.0009369466570205986
12,4383,-0.0009093973785638809
13,2799,-0.0008967358735390007
14,3242,-0.0008791129803285003
15,3701,-0.0008631354430690408
16,3198,-0.0008412899333052337
17,5000,-0.0008359070052392781
18,2606,-0.0007776247803121805
19,2736,-0.0007754024118185043
20,217,-0.000769114529248327
21,4554,-0.0007377600995823741
22,4984,-0.0007303301244974136
23,350,-0.0007274731760844588
24,4328,-0.0007248988258652389
25,803,-0.0006859236164018512
26,4100,-0.0006692587630823255
27,3192,-0.0006687748245894909
28,45,-0.000665198836941272
29,2252,-0.0006607207469642162
30,4015,-0.0006222572992555797
31,4877,-0.0006118982564657927
32,2442,-0.0006104091880843043
33,1653,-0.0006062505999580026
34,3659,-0.0006041486631147563
35,4466,-0.0006033388199284673
36,3846,-0.0006027527851983905
37,2641,-0.000600153929553926
38,3044,-0.0005929251783527434
39,1036,-0.0005822008824907243
40,970,-0.0005704748327843845
41,3787,-0.0005687561933882535
42,1869,-0.000563129666261375
43,5102,-0.0005610877997241914
44,2607,-0.0005470237229019403
45,2275,-0.0005451348843052983
46,1334,-0.0005382778472267091
47,717,-0.0005354168824851513
48,4945,-0.0005337155889719725
49,3052,-0.0005287220701575279
50,3308,-0.0005286898813210428
