rank,feature_id,score
1,1590,-0.007261877413839102
2,320,-0.005935177206993103
3,1842,-0.004974352661520243
4,800,-0.003759736195206642
5,2268,-0.003730777185410261
6,3039,-0.0037283499259501696
7,4834,-0.0036195958964526653
8,3167,-0.003577210009098053
9,1456,-0.0030238754115998745
10,2934,-0.002804182469844818
11,3920,-0.0027089472860097885
12,2066,-0.0025239207316190004
13,4524,-0.0025200212839990854
14,989,-0.0024299100041389465
15,1269,-0.002410484943538904
16,2658,-0.0023840186186134815
17,1606,-0.002278935397043824
18,4885,-0.0022016214206814766
19,280,-0.002097951713949442
20,304,-0.0019985069520771503
21,3274,-0.0019943853840231895
22,5020,-0.0018900225404649973
23,2925,-0.0018348032608628273
24,865,-0.0018168961396440864
25,1278,-0.001809625537134707
26,2693,-0.0017817385960370302
27,2466,-0.0017777947941794991
28,3710,-0.0017618307610973716
29,4420,-0.0017514865612611175
30,1294,-0.0017215597908943892
31,3185,-0.001709112199023366
32,2035,-0.0016985610127449036
33,935,-0.0016599774826318026
34,149,-0.0016500272322446108
35,1857,-0.0016387474024668336
36,3868,-0.0015953511465340853
37,1450,-0.0015939129516482353
38,1889,-0.0015872499207034707
39,2199,-0.0015688728308305144
40,1783,-0.001534026931039989
41,3432,-0.0015205723466351628
42,4214,-0.001512566115707159
43,3678,-0.0015103413024917245
44,1551,-0.001470582908950746
45,3890,-0.001434779609553516
46,1350,-0.0014277079608291388
47,4800,-0.0013926639221608639
48,1792,-0.001391623285599053
49,1536,-0.0013913435395807028
50,3922,-0.0013623513514176011
