rank,feature_id,score
1,274,0.016109010204672813
2,1590,0.012490076012909412
3,3409,0.01161925308406353
4,1950,0.005507805850356817
5,3804,0.005386029835790396
6,4175,0.00452308589592576
7,886,0.0044523268006742
8,4639,0.004174557514488697
9,3485,0.004037931095808744
10,1842,0.0037590558640658855
11,388,0.003692661877721548
12,4364,0.003546021180227399
13,3558,0.003209738526493311
14,1908,0.0031630515586584806
15,1857,0.003137737512588501
16,1863,0.0030262984801083803
17,3992,0.0030241538770496845
18,2930,0.0029665231704711914
19,1350,0.0029174648225307465
20,4848,0.002763123484328389
21,1075,0.002749407896772027
22,744,0.0027321071829646826
23,2422,0.00266571668908
24,381,0.0025049669202417135
25,2241,0.002455362817272544
26,3528,0.00244674040004611
27,20,0.00238223560154438
28,1579,0.0023815880995243788
29,4171,0.002240091096609831
30,1456,0.0021453266963362694
31,2328,0.0021439155098050833
32,2481,0.002134073292836547
33,1757,0.002133345464244485
34,398,0.0020377994515001774
35,720,0.0019235197687521577
36,2036,0.0019023485947400331
37,2356,0.0018559519667178392
38,60,0.0018221128266304731
39,3942,0.0017692714463919401
40,3492,0.0017265577334910631
41,479,0.0017023589462041855
42,1606,0.001688387943431735
43,1082,0.0015843851724639535
44,4897,0.0015782801201567054
45,616,0.0015415116213262081
46,528,0.001509417430497706
47,4102,0.0014805682003498077
48,3425,0.0014252407709136605
49,4524,0.0014073987258598208
50,1232,0.0014041510876268148
