rank,feature_id,score
1,2723,-0.005146482028067112
2,1606,-0.005063793621957302
3,320,-0.00470483535900712
4,4524,-0.004660324659198523
5,3920,-0.004504796117544174
6,1269,-0.004174576606601477
7,3039,-0.004173737019300461
8,1456,-0.0038165554869920015
9,439,-0.0037213079631328583
10,1857,-0.0036448698956519365
11,4995,-0.0035181031562387943
12,3668,-0.003285309299826622
13,141,-0.0030104282777756453
14,3167,-0.0029818988405168056
15,715,-0.0027731461450457573
16,4834,-0.0027602999471127987
17,699,-0.0026403521187603474
18,4969,-0.002626714762300253
19,2199,-0.0025631245225667953
20,989,-0.0024552629329264164
21,1425,-0.0024296953342854977
22,2554,-0.002296329941600561
23,338,-0.002268197014927864
24,3852,-0.0022438152227550745
25,4845,-0.002227937104180455
26,4833,-0.0022253505885601044
27,1641,-0.002220942173153162
28,280,-0.002130586188286543
29,1550,-0.002069076057523489
30,164,-0.002028465736657381
31,1863,-0.002022302243858576
32,3100,-0.001880955183878541
33,4807,-0.0018650185083970428
34,4214,-0.0017636017873883247
35,1648,-0.0017562739085406065
36,4802,-0.0017519412795081735
37,4021,-0.0017126211896538734
38,5042,-0.00170099176466465
39,3678,-0.0016703378641977906
40,3922,-0.0015659102937206626
41,149,-0.0015585172222927213
42,3156,-0.001556303002871573
43,3185,-0.0015385238220915198
44,933,-0.0015233835438266397
45,1590,-0.0015110329259186983
46,481,-0.0014865784905850887
47,181,-0.0014825467951595783
48,474,-0.0014704049099236727
49,3219,-0.0014689170056954026
50,1278,-0.001454029232263565
