rank,feature_id,score
1,5014,0.030534476041793823
2,2128,0.027201592922210693
3,653,0.018996596336364746
4,3112,0.017177660018205643
5,4451,0.0133138969540596
6,1176,0.013025512918829918
7,279,0.012379898689687252
8,2045,0.012281583622097969
9,1498,0.012212174944579601
10,4984,0.010089388117194176
11,2502,0.007923727855086327
12,4806,0.007239213678985834
13,1444,0.007197906728833914
14,3554,0.006731684319674969
15,1687,0.005631446372717619
16,2579,0.005021297372877598
17,3858,0.004406300373375416
18,565,0.0041374522261321545
19,1783,0.004098542965948582
20,2248,0.003877239767462015
21,418,0.0036991212982684374
22,225,0.0034684273414313793
23,1510,0.0033772282768040895
24,3326,0.0030028210021555424
25,4013,0.0029986370354890823
26,2627,0.0028817993588745594
27,4919,0.002826802898198366
28,1429,0.002730501117184758
29,2478,0.0026950412429869175
30,4004,0.0025868320371955633
31,2427,0.0024788982700556517
32,3975,0.0024159778840839863
33,4184,0.002399568911641836
34,102,0.002223458606749773
35,3621,0.0019795377738773823
36,2605,0.0018972901161760092
37,2080,0.001859752694144845
38,3445,0.0018200378399342299
39,3028,0.0018173394491896033
40,814,0.001772480085492134
41,2590,0.0017686880892142653
42,1829,0.0017311017727479339
43,2238,0.0017184664029628038
44,4346,0.0016933567821979523
45,3457,0.0016914124134927988
46,2683,0.0016546410042792559
47,433,0.001647114404477179
48,3129,0.0016334842657670379
49,1233,0.0016118127387017012
50,4272,0.0015272742602974176
