rank,feature_id,score
1,4807,0.006879318505525589
2,2002,0.005419986788183451
3,3481,0.0036092393565922976
4,1498,0.0034245431888848543
5,3805,0.0032500072848051786
6,228,0.0031250123865902424
7,206,0.0029210331849753857
8,438,0.0028704162687063217
9,4969,0.0028697806410491467
10,3852,0.0026643271557986736
11,2107,0.0026140636764466763
12,3639,0.0025041992776095867
13,2627,0.002368117216974497
14,489,0.002267313189804554
15,3112,0.002235246356576681
16,1707,0.0021136426366865635
17,3437,0.002005837857723236
18,92,0.002005224348977208
19,3445,0.0019646035507321358
20,2083,0.001895222463645041
21,1960,0.0018764374544844031
22,3409,0.0018286872655153275
23,3529,0.001744752749800682
24,4868,0.0017044518608599901
25,1687,0.0017040406819432974
26,1456,0.0016957322368398309
27,2644,0.0016921532806009054
28,229,0.0016860354226082563
29,1179,0.0016303634038195014
30,723,0.001441081170924008
31,981,0.0014377112966030836
32,1488,0.0014291396364569664
33,1134,0.0014191820519044995
34,3434,0.0013899392215535045
35,1436,0.001377257751300931
36,1749,0.0013752978993579745
37,4752,0.0012833105865865946
38,690,0.0012780316174030304
39,615,0.001256949850358069
40,2916,0.0012342168483883142
41,535,0.0012315738713368773
42,4390,0.0012259921059012413
43,3225,0.00122350943274796
44,782,0.0012125830398872495
45,5008,0.0011901367688551545
46,3475,0.0011415155604481697
47,2503,0.0011336588067933917
48,2452,0.0011320055928081274
49,4423,0.0011177726555615664
50,3360,0.0011112191714346409
