rank,feature_id,score
1,4834,-0.012225938960909843
2,320,-0.01079627126455307
3,4057,-0.00834790337830782
4,1606,-0.00778540363535285
5,3920,-0.006423524115234613
6,3039,-0.006222064141184092
7,4524,-0.005304296035319567
8,2639,-0.004699290730059147
9,4009,-0.004695472307503223
10,280,-0.004610675852745771
11,97,-0.004460007883608341
12,2676,-0.004400157835334539
13,4272,-0.003959832713007927
14,3225,-0.0037379369605332613
15,1857,-0.0035821355413645506
16,2199,-0.003478263970464468
17,3100,-0.0033975387923419476
18,3701,-0.00288857938721776
19,1201,-0.0028625610284507275
20,1783,-0.002860849490389228
21,3219,-0.002757460344582796
22,243,-0.002725896891206503
23,2940,-0.0026593124493956566
24,715,-0.0025794387329369783
25,1641,-0.0025723844300955534
26,3749,-0.002546578412875533
27,1303,-0.0023465387057513
28,3663,-0.0022722159046679735
29,240,-0.00225764699280262
30,1456,-0.00224825507029891
31,4968,-0.002183158416301012
32,536,-0.0020707235671579838
33,580,-0.0019795324187725782
34,989,-0.0019318392733111978
35,1714,-0.0018855948001146317
36,2786,-0.0018604916986078024
37,3567,-0.0018125841161236167
38,67,-0.001810190617106855
39,1294,-0.0017761141061782837
40,2611,-0.0017542034620419145
41,2811,-0.0017501218244433403
42,4630,-0.0016864491626620293
43,3454,-0.001683743903413415
44,784,-0.001670898636803031
45,2771,-0.0016377272550016642
46,2554,-0.0016265647718682885
47,1310,-0.001593014458194375
48,2293,-0.001541873556561768
49,1648,-0.001537771662697196
50,3871,-0.001516407006420195
