rank,feature_id,score
1,2495,-0.006880915258079767
2,217,-0.0027656275779008865
3,865,-0.002110162517055869
4,699,-0.001986196730285883
5,4289,-0.0017087499145418406
6,1968,-0.0016931059071794152
7,3308,-0.0016016431618481874
8,2736,-0.0014827719423919916
9,2466,-0.0013192597543820739
10,2963,-0.0013050094712525606
11,94,-0.001201663981191814
12,6,-0.0011480695102363825
13,622,-0.0010798030998557806
14,1772,-0.0010237443493679166
15,4864,-0.0009535943390801549
16,1711,-0.0009368107421323657
17,3029,-0.000926755543332547
18,366,-0.0008896280778571963
19,3198,-0.0008368710987269878
20,3101,-0.0008022956317290664
21,954,-0.000781956419814378
22,2665,-0.000777724024374038
23,460,-0.0007358628790825605
24,4767,-0.0007296954281628132
25,310,-0.0007229748298414052
26,3184,-0.0006994706927798688
27,3242,-0.0006864567985758185
28,1524,-0.0006860267021693289
29,4410,-0.0006616252358071506
30,2397,-0.0006526628276333213
31,451,-0.000648321642074734
32,3124,-0.000647835258860141
33,1149,-0.0006448221975006163
34,304,-0.0006432893569581211
35,4406,-0.0006145552615635097
36,3052,-0.0006098779267631471
37,340,-0.0005869673332199454
38,4435,-0.0005844797124154866
39,1847,-0.000579116283915937
40,1820,-0.0005772432195954025
41,1962,-0.0005694929277524352
42,1371,-0.0005594853428192437
43,2091,-0.0005462128901854157
44,4563,-0.0005372366867959499
45,4782,-0.0005366454133763909
46,2428,-0.0005356258479878306
47,4733,-0.0005257795564830303
48,3893,-0.0005164991016499698
49,4401,-0.0005136923864483833
50,659,-0.0005131718353368342
