rank,feature_id,score
1,1798,-0.0016437271842733026
2,2963,-0.0015933867543935776
3,699,-0.0015053534880280495
4,460,-0.0012958243023604155
5,1772,-0.0011929087340831757
6,3029,-0.0010980521328747272
7,474,-0.0010859403992071748
8,4406,-0.00105385878123343
9,1149,-0.0010535453911870718
10,310,-0.0010468584951013327
11,4100,-0.001015478395856917
12,4782,-0.0009989442769438028
13,1794,-0.0009735234780237079
14,3434,-0.0009580063633620739
15,3101,-0.0009320780518464744
16,1616,-0.0008979220874607563
17,1448,-0.0008529736660420895
18,3662,-0.0008514413493685424
19,4506,-0.0008396193152293563
20,4332,-0.0008375273901037872
21,1438,-0.0008261057664640248
22,329,-0.0007872305577620864
23,2076,-0.0007851940463297069
24,3184,-0.0007831293041817844
25,1813,-0.0007764140027575195
26,1646,-0.0007660380215384066
27,4401,-0.0007088532438501716
28,2941,-0.0006742157856933773
29,4158,-0.0006672284798696637
30,1599,-0.0006658952916041017
31,222,-0.0006561686168424785
32,3106,-0.0006494586123153567
33,2882,-0.0006222819210961461
34,2252,-0.0006051802192814648
35,3865,-0.0006023324676789343
36,3914,-0.0005924194701947272
37,217,-0.0005892364424653351
38,1206,-0.0005831924499943852
39,2469,-0.0005829784786328673
40,216,-0.0005799786886200309
41,5049,-0.0005789920687675476
42,4655,-0.0005780078936368227
43,3628,-0.0005723728681914508
44,1334,-0.0005708428216166794
45,786,-0.0005624914774671197
46,2774,-0.0005606212071143091
47,2139,-0.0005604501930065453
48,3242,-0.0005561275756917894
49,2928,-0.000555479375179857
50,242,-0.0005535086384043097
