rank,feature_id,score
1,699,-0.0021682006772607565
2,1102,-0.0014270389219745994
3,1772,-0.0013299284037202597
4,1849,-0.0011420862283557653
5,2031,-0.0011044510174542665
6,3013,-0.0010150584857910872
7,983,-0.0009719381341710687
8,2466,-0.0009623983642086387
9,2617,-0.0009453353704884648
10,1339,-0.0009162634378299117
11,4766,-0.000900685612577945
12,217,-0.0008693585987202823
13,3940,-0.0008467152947559953
14,3202,-0.0008323945803567767
15,2963,-0.0008032267796806991
16,2252,-0.000747252837754786
17,1968,-0.0007271115900948644
18,766,-0.0006996715674176812
19,4764,-0.0006706294952891767
20,2495,-0.000666610081680119
21,5029,-0.0006659580394625664
22,3308,-0.0006340394029393792
23,865,-0.0006329675088636577
24,1517,-0.0005976605461910367
25,1781,-0.0005919198738411069
26,3944,-0.0005852613830938935
27,3049,-0.0005789200076833367
28,136,-0.000562941306270659
29,4394,-0.0005560318240895867
30,4145,-0.0005278153694234788
31,904,-0.0005071208579465747
32,392,-0.0005045806174166501
33,2736,-0.0005005492712371051
34,4620,-0.00048641147441230714
35,5026,-0.0004807394871022552
36,1149,-0.0004737073613796383
37,2641,-0.00046780789853073657
38,4733,-0.0004514316678978503
39,1910,-0.0004326769267208874
40,3707,-0.0004315932746976614
41,3701,-0.00042630312964320183
42,2700,-0.00042333657620474696
43,4100,-0.0004221579001750797
44,2630,-0.00041459471685811877
45,474,-0.0004127538704778999
46,5008,-0.00040038139559328556
47,2665,-0.00039842771366238594
48,1243,-0.00039206616929732263
49,1194,-0.00039054040098562837
50,4289,-0.00038233594386838377
