rank,feature_id,score
1,2495,-0.003976061008870602
2,2963,-0.0029753597918897867
3,3242,-0.002067070920020342
4,6,-0.0015885954489931464
5,94,-0.0012876697583124042
6,997,-0.001261583180166781
7,1623,-0.0011670485837385058
8,1243,-0.001087235868908465
9,1102,-0.001080949092283845
10,5026,-0.0009544458007439971
11,3308,-0.0009505078196525574
12,2466,-0.0009093709522858262
13,136,-0.0009059192379936576
14,4289,-0.0008777753682807088
15,3906,-0.0008378728525713086
16,3865,-0.0008071126649156213
17,2941,-0.0008001854876056314
18,217,-0.0007982120732776821
19,4864,-0.0007952572777867317
20,699,-0.0007912777364253998
21,1336,-0.0007808386581018567
22,164,-0.0007501788786612451
23,2442,-0.0007463271031156182
24,1371,-0.0007040663622319698
25,4100,-0.0006877516279928386
26,1798,-0.0006704296683892608
27,1448,-0.0006671029841527343
28,2642,-0.0006459614960476756
29,2617,-0.0006410424830392003
30,2032,-0.0006217086338438094
31,1149,-0.0006138637545518577
32,431,-0.0006053040269762278
33,272,-0.000583442160859704
34,2698,-0.0005775372846983373
35,2058,-0.0005747898248955607
36,5068,-0.0005702594062313437
37,1524,-0.0005572552909143269
38,3501,-0.000538105028681457
39,4401,-0.0005322896759025753
40,1867,-0.0005239583551883698
41,3703,-0.0005228463560342789
42,2665,-0.0005150135257281363
43,3944,-0.0005034020869061351
44,3192,-0.0004995650378987193
45,3034,-0.0004974004114046693
46,1794,-0.0004969502915628254
47,659,-0.0004944942193105817
48,865,-0.0004906313261017203
49,1919,-0.000490371254272759
50,3712,-0.0004892282886430621
