rank,feature_id,score
1,366,0.0026724159251898527
2,677,0.0014845497207716107
3,304,0.0012727114371955395
4,2766,0.0011024624109268188
5,999,0.0010611300822347403
6,2091,0.001036415109410882
7,2932,0.0008927636663429439
8,3940,0.0008915407815948129
9,4589,0.0008610909571871161
10,1007,0.0008266577497124672
11,982,0.0008237416041083634
12,4145,0.0008055891958065331
13,216,0.0007796541322022676
14,4025,0.0007642106502316892
15,14,0.0007269588531926274
16,3111,0.0007155061466619372
17,473,0.0007115414482541382
18,4980,0.0006706194835714996
19,406,0.0006573428399860859
20,4782,0.0006545198848471045
21,4057,0.0006522951880469918
22,2685,0.0006454827962443233
23,1967,0.0006069408264011145
24,1342,0.0005703052156604826
25,2252,0.0005614265101030469
26,4578,0.0005541163263842463
27,4452,0.0005531003698706627
28,2627,0.0005219830782152712
29,4255,0.0005217314464971423
30,3366,0.0005148033378645778
31,3611,0.0004898085026070476
32,843,0.000482627481687814
33,4354,0.0004806251381523907
34,4347,0.0004722542653325945
35,1309,0.0004686503089033067
36,1235,0.00046746496809646487
37,3397,0.00045097171096131206
38,765,0.0004463528166525066
39,280,0.0004462354409042746
40,3809,0.0004283534362912178
41,3870,0.0004254419472999871
42,4894,0.00042383623076602817
43,407,0.0004209215403534472
44,440,0.00041914117173291743
45,2261,0.0004182145930826664
46,961,0.0004155376518610865
47,3655,0.0004125475825276226
48,419,0.00041033109300769866
49,2069,0.0004102739621885121
50,3873,0.0004050239804200828
