rank,feature_id,score
1,1772,-0.001719029969535768
2,217,-0.001576027600094676
3,3906,-0.0014993343502283096
4,1968,-0.0014114127261564136
5,4076,-0.0013292043004184961
6,3629,-0.0012908305507153273
7,1336,-0.0011788209667429328
8,3242,-0.0010751555673778057
9,2555,-0.0009874958777800202
10,865,-0.0009803508874028921
11,4213,-0.0009734744089655578
12,4766,-0.000964357634074986
13,4289,-0.0008282948401756585
14,2736,-0.0008044198038987815
15,3701,-0.0008024841663427651
16,4383,-0.0007949409773573279
17,2091,-0.0007485953392460942
18,4394,-0.0007230764022096992
19,164,-0.0007151950849220157
20,2799,-0.0007147136493586004
21,4733,-0.0007061316864565015
22,5000,-0.0006825175369158387
23,4401,-0.0006716175703331828
24,4015,-0.0006396537646651268
25,803,-0.0006353354547172785
26,3192,-0.0006261643720790744
27,3308,-0.0006223910022526979
28,4984,-0.0006211152067407966
29,5102,-0.0006013073143549263
30,2606,-0.0005969683406874537
31,2252,-0.0005953142535872757
32,2442,-0.0005952926585450768
33,6,-0.0005855374620296061
34,4945,-0.000581474625505507
35,4328,-0.0005645701894536614
36,431,-0.000557948078494519
37,2641,-0.0005567315383814275
38,659,-0.0005336559261195362
39,350,-0.0005257699522189796
40,4767,-0.0005221200408414006
41,3846,-0.0005194606492295861
42,4100,-0.0005192248499952257
43,4554,-0.0005182545864954591
44,4877,-0.0005120178684592247
45,3052,-0.0005081339040771127
46,1686,-0.0005075830267742276
47,4466,-0.0005048628663644195
48,677,-0.0005046179867349565
49,3044,-0.0004988597938790917
50,717,-0.000491197279188782
