rank,feature_id,score
1,3323,0.004598625935614109
2,3865,0.0024144549388438463
3,366,0.002010924508795142
4,3690,0.0019484355580061674
5,473,0.0018625144148245454
6,2928,0.0016681086272001266
7,4827,0.0016004324425011873
8,2298,0.0013353669783100486
9,699,0.0011878868099302053
10,3101,0.001143434434197843
11,3150,0.0011274067219346762
12,1813,0.0011069410247728229
13,2076,0.0010089135030284524
14,2766,0.0009549803216941655
15,2139,0.0009474732214584947
16,3712,0.0009255247423425317
17,4009,0.0009195568272843957
18,2989,0.0009102074545808136
19,997,0.0008951611816883087
20,477,0.0008742355857975781
21,1649,0.0008539176778867841
22,1149,0.000847388175316155
23,1620,0.0008396703633479774
24,4046,0.0008370812283828855
25,1723,0.0008264353382401168
26,1313,0.000826037023216486
27,1102,0.0008208741201087832
28,4330,0.0008085296722128987
29,1553,0.000804734299890697
30,639,0.0007879302720539272
31,1765,0.0007215942023321986
32,2394,0.000715420232154429
33,4840,0.0007103465031832457
34,1203,0.0007040693308226764
35,1603,0.0007020494667813182
36,460,0.000696781906299293
37,3162,0.0006629140698350966
38,2437,0.0006627333932556212
39,1730,0.0006583717186003923
40,1438,0.0006563971983268857
41,2630,0.0006496206042356789
42,2952,0.0006441081059165299
43,1546,0.0006438702694140375
44,3434,0.0006329567404463887
45,474,0.0006299170199781656
46,4292,0.0006076262798160315
47,2466,0.0005849255830980837
48,4436,0.0005757176550105214
49,1506,0.0005719576147384942
50,369,0.0005664228228852153
