rank,feature_id,score
1,2038,-0.0039929598569869995
2,127,-0.003146667033433914
3,1604,-0.002675836905837059
4,4406,-0.0025411758106201887
5,2527,-0.0024634129367768764
6,3693,-0.002405610168352723
7,3234,-0.0023339013569056988
8,1642,-0.0022135828621685505
9,248,-0.0020418064668774605
10,3697,-0.0019781242590397596
11,2095,-0.00187554897274822
12,2978,-0.0018101170426234603
13,2080,-0.0018044611206278205
14,1284,-0.0016269466141238809
15,572,-0.0015817604726180434
16,4382,-0.001576918177306652
17,446,-0.0015200987691059709
18,884,-0.0015160004841163754
19,785,-0.0015132658882066607
20,966,-0.0014706740621477365
21,1269,-0.0014368329429998994
22,336,-0.0013519886415451765
23,1709,-0.0013403005432337523
24,1985,-0.0013066430110484362
25,615,-0.0012853557709604502
26,4939,-0.0012212111614644527
27,4919,-0.0012171746930107474
28,1882,-0.0012157366145402193
29,1181,-0.0011834172764793038
30,1101,-0.001179305836558342
31,4445,-0.0011305826483294368
32,4426,-0.0011079746764153242
33,2742,-0.0011025976855307817
34,697,-0.0010941305663436651
35,3554,-0.0010668302420526743
36,4816,-0.0010152776958420873
37,1906,-0.0009585097432136536
38,178,-0.0009463190217502415
39,208,-0.0009137244778685272
40,2052,-0.0009131439728662372
41,3062,-0.0009098557638935745
42,3682,-0.0008984057349152863
43,453,-0.0008752945577725768
44,1826,-0.0008749975822865963
45,1429,-0.0008730360423214734
46,3136,-0.0008543140138499439
47,3882,-0.0008382784435525537
48,3039,-0.0007943978416733444
49,1378,-0.0007816510042175651
50,2647,-0.00077761837746948
