rank,feature_id,score
1,2072,0.008840195834636688
2,1217,0.008692769333720207
3,2590,0.0082338722422719
4,4273,0.007681707385927439
5,1202,0.007418329361826181
6,362,0.007026191800832748
7,1420,0.006824947893619537
8,4491,0.006532552186399698
9,4156,0.006333556026220322
10,1823,0.005705059040337801
11,1628,0.0054776608012616634
12,3413,0.00507900258526206
13,3652,0.004849436227232218
14,2314,0.0047541954554617405
15,2999,0.004721043631434441
16,392,0.0046732015907764435
17,1768,0.004607631824910641
18,1438,0.004213662818074226
19,1421,0.0036948532797396183
20,3003,0.003634088207036257
21,3665,0.0033611536491662264
22,3221,0.003336430760100484
23,3868,0.0032883319072425365
24,2767,0.0032672665547579527
25,1330,0.0031127193942666054
26,4247,0.002926507731899619
27,3229,0.0029122887644916773
28,4039,0.002489826176315546
29,3702,0.0023631516378372908
30,2225,0.0022918260656297207
31,2183,0.0022636184003204107
32,3500,0.002204192103818059
33,4996,0.002196972258388996
34,369,0.0021608094684779644
35,4141,0.0020196293480694294
36,405,0.0018265482503920794
37,2221,0.0018178146565333009
38,237,0.0017018202925100923
39,3334,0.0016866469522938132
40,4726,0.0016639439854770899
41,2937,0.0015999146271497011
42,344,0.0015769634628668427
43,555,0.0015509618679061532
44,2186,0.0015488375211134553
45,4584,0.0014606028562411666
46,744,0.0013574592303484678
47,3294,0.0012765007559210062
48,3580,0.0012761240359395742
49,1079,0.0012416093377396464
50,2197,0.0012364580761641264
