rank,feature_id,score
1,830,0.002677047159522772
2,4359,0.0017992522334679961
3,2948,0.0017556080128997564
4,1856,0.0017068341840058565
5,2976,0.0016236560186371207
6,15,0.0014614083338528872
7,2221,0.0013612963957712054
8,1822,0.0012639800552278757
9,901,0.0012033026432618499
10,39,0.0011863114777952433
11,3910,0.0011795797618106008
12,4650,0.001070398255251348
13,584,0.001041163457557559
14,2129,0.0010386769426986575
15,1866,0.000999951153062284
16,3158,0.0009492477402091026
17,420,0.0009305380517616868
18,3240,0.0009303451515734196
19,4430,0.0009175992454402149
20,4117,0.0009081067400984466
21,3101,0.0008993908995762467
22,506,0.0008816656772978604
23,3711,0.0008807647973299026
24,3401,0.0008570501813665032
25,413,0.0008023983100429177
26,576,0.0007890175329521298
27,2255,0.0007791654788888991
28,3285,0.0007554913172498345
29,2643,0.0007140940288081765
30,2393,0.0007043100195005536
31,2649,0.0006741697434335947
32,762,0.0006691119051538408
33,4710,0.0006688651628792286
34,518,0.0006673387833870947
35,2062,0.000665755127556622
36,4902,0.0006652440642938018
37,975,0.0006549714598804712
38,3666,0.0006456657429225743
39,2047,0.0006446920451708138
40,4919,0.0006412126240320504
41,4202,0.0006314263446256518
42,2265,0.0006295813946053386
43,344,0.0006283293478190899
44,4136,0.0006268895231187344
45,1340,0.0006241871742531657
46,4794,0.0006231962470337749
47,138,0.000620477250777185
48,2747,0.0006185391102917492
49,5002,0.0006094321724958718
50,2253,0.0006055196281522512
