rank,feature_id,score
1,4197,-0.008943626657128334
2,3166,-0.007414844818413258
3,2804,-0.003989082761108875
4,2863,-0.0036353040486574173
5,625,-0.002960027428343892
6,1635,-0.0026308458764106035
7,4144,-0.0025234792847186327
8,879,-0.0025194704066962004
9,2822,-0.002512978855520487
10,2733,-0.0023716483265161514
11,2105,-0.00217045727185905
12,840,-0.0018996940925717354
13,2006,-0.00180684810038656
14,3638,-0.0018045551842078567
15,3634,-0.001794785843230784
16,4163,-0.0016840046737343073
17,2680,-0.0016145568806678057
18,1394,-0.0016112452140077949
19,2445,-0.0015933699905872345
20,2668,-0.0015334328636527061
21,4904,-0.0014699300518259406
22,4633,-0.0014226651983335614
23,2307,-0.001419608248397708
24,1335,-0.0014064088463783264
25,4300,-0.0014042945113033056
26,4312,-0.0013752448139712214
27,655,-0.0013639579992741346
28,567,-0.001357025234028697
29,2903,-0.0013567988062277436
30,28,-0.0013096944894641638
31,1326,-0.0013055485906079412
32,445,-0.0013052280992269516
33,2957,-0.00125675939489156
34,2244,-0.0012446802575141191
35,2736,-0.0012094314442947507
36,1036,-0.001188949216157198
37,4618,-0.001184210181236267
38,2207,-0.0011725157964974642
39,705,-0.0011694681597873569
40,65,-0.0011670066742226481
41,1615,-0.0011528354370966554
42,4609,-0.0011525542940944433
43,4073,-0.0011140616843476892
44,4351,-0.00111294852104038
45,4484,-0.0011116755194962025
46,1307,-0.0011102443095296621
47,2946,-0.0011031089816242456
48,2418,-0.0011011756723746657
49,3291,-0.001083834795281291
50,4890,-0.0010700685670599341
