rank,feature_id,score
1,2727,0.014078356325626373
2,4296,0.0136952456086874
3,4573,0.008726810105144978
4,608,0.008242168463766575
5,4897,0.006918164435774088
6,4307,0.006181145552545786
7,3460,0.005505328066647053
8,1101,0.005202563013881445
9,1105,0.004729036241769791
10,60,0.004473644774407148
11,799,0.004424980841577053
12,4975,0.0044131153263151646
13,3078,0.003908271435648203
14,4132,0.0032537064980715513
15,3309,0.0030101542361080647
16,4916,0.002999634947627783
17,2562,0.0029534869827330112
18,571,0.002828442258760333
19,560,0.0028231001924723387
20,2964,0.0028082411736249924
21,1139,0.0026741200126707554
22,3553,0.002651679329574108
23,965,0.0024643470533192158
24,4462,0.0024234901648014784
25,2312,0.002380890306085348
26,1480,0.0022317355033010244
27,4725,0.0022080170456320047
28,1934,0.0021516738925129175
29,3382,0.0021272203885018826
30,1240,0.0020772763527929783
31,5018,0.002003467408940196
32,2003,0.001984638860449195
33,666,0.0018935647094622254
34,96,0.0018930963706225157
35,5080,0.001831159577704966
36,1648,0.0017691103275865316
37,4679,0.0017069673631340265
38,2008,0.0016966229304671288
39,4124,0.0016122807282954454
40,4868,0.0015823347494006157
41,2598,0.0015779035165905952
42,3689,0.0014759234618395567
43,4021,0.0014498650562018156
44,2151,0.0014489110326394439
45,1936,0.0014361969660967588
46,794,0.0014296461595222354
47,3936,0.0014256190042942762
48,3756,0.001417462364770472
49,4030,0.0013869060203433037
50,882,0.0013559923972934484
