rank,feature_id,score
1,2727,-0.008571820333600044
2,3936,-0.006512985564768314
3,4956,-0.0061631896533071995
4,3078,-0.004489075392484665
5,4296,-0.004381445236504078
6,705,-0.004311088006943464
7,4916,-0.0038530577439814806
8,2733,-0.0034567639231681824
9,2804,-0.0034486546646803617
10,4197,-0.0032195993699133396
11,2863,-0.003081567119807005
12,3166,-0.002942892024293542
13,1056,-0.002719229320064187
14,825,-0.0026995274238288403
15,108,-0.0024941652081906796
16,2529,-0.0022953080479055643
17,2008,-0.0021989396773278713
18,879,-0.002171193715184927
19,2244,-0.002106280531734228
20,2124,-0.002089087152853608
21,4163,-0.0020887546706944704
22,445,-0.0020848331041634083
23,4897,-0.0020498293451964855
24,4307,-0.002020088490098715
25,1073,-0.001812316128052771
26,1443,-0.0018026282778009772
27,3162,-0.0016609346494078636
28,1765,-0.001644314848817885
29,2164,-0.00161849579308182
30,282,-0.001596264191903174
31,491,-0.001560517237521708
32,5093,-0.0015265222173184156
33,455,-0.0014514210633933544
34,951,-0.0014233787078410387
35,3460,-0.0014189224457368255
36,1962,-0.0013725538738071918
37,5080,-0.001309939194470644
38,1934,-0.0012627777177840471
39,2822,-0.001258940203115344
40,1067,-0.0012417597463354468
41,625,-0.0012079927837476134
42,1566,-0.0011967394966632128
43,4521,-0.001188631751574576
44,608,-0.0011564125306904316
45,779,-0.0011407583951950073
46,1390,-0.0011362023651599884
47,3624,-0.0011348424013704062
48,2668,-0.0011336664902046323
49,1824,-0.0011222510365769267
50,2964,-0.0010817780857905746
