rank,feature_id,score
1,2495,-0.01204258855432272
2,699,-0.00595149677246809
3,4023,-0.004867177456617355
4,622,-0.004202999174594879
5,94,-0.003881846321746707
6,2963,-0.0027829406317323446
7,2466,-0.002741317031905055
8,272,-0.0026915676426142454
9,954,-0.0025248334277421236
10,1451,-0.002453771186992526
11,3034,-0.002371626440435648
12,3308,-0.002355676842853427
13,217,-0.0022626202553510666
14,4410,-0.0022295541130006313
15,366,-0.002117863390594721
16,2298,-0.002073319163173437
17,4406,-0.0020115573424845934
18,4473,-0.002009736839681864
19,3703,-0.0020046180579811335
20,1506,-0.001955227227881551
21,4435,-0.0019355822587385774
22,451,-0.0019228595774620771
23,1056,-0.0018894958775490522
24,1206,-0.0018814491340890527
25,3029,-0.0018586978549137712
26,3263,-0.0018193632131442428
27,1026,-0.0017820460489019752
28,2458,-0.0017804291564971209
29,340,-0.001726577989757061
30,310,-0.0016136148478835821
31,4308,-0.0016093931626528502
32,836,-0.0016063123475760221
33,3158,-0.001605273224413395
34,4945,-0.0015406853053718805
35,1031,-0.0015309329610317945
36,5018,-0.0014960580738261342
37,2397,-0.0014840243384242058
38,4506,-0.0014723788481205702
39,3692,-0.0014294125139713287
40,776,-0.0014169031055644155
41,3923,-0.0013939531054347754
42,4227,-0.001372553058899939
43,1248,-0.001356386812403798
44,4864,-0.001344624673947692
45,2504,-0.0012953691184520721
46,4385,-0.0012804240686818957
47,865,-0.0012286931741982698
48,1172,-0.001219581114128232
49,3124,-0.0012050747172906995
50,4239,-0.0012048305943608284
