rank,feature_id,score
1,4080,0.010148522444069386
2,4322,0.009166650474071503
3,6,0.00681824516505003
4,4145,0.00501363817602396
5,4023,0.004102271515876055
6,3063,0.0036847922019660473
7,140,0.003233700292184949
8,1094,0.0032201092690229416
9,2554,0.002755457069724798
10,384,0.002743376884609461
11,3865,0.0026535242795944214
12,798,0.0026534541975706816
13,1755,0.002623897511512041
14,3044,0.0026175943203270435
15,3180,0.0025748461484909058
16,2157,0.0025725041050463915
17,3186,0.002509558806195855
18,1026,0.0024492167867720127
19,1778,0.002327491296455264
20,2298,0.0021419373806566
21,4486,0.0020761466585099697
22,2910,0.0019999940413981676
23,2353,0.00198124791495502
24,1248,0.0015710791340097785
25,4473,0.0015673337038606405
26,3862,0.0015483427559956908
27,2328,0.0014682614710181952
28,2079,0.0014631517697125673
29,4332,0.0014274339191615582
30,4143,0.0014273242559283972
31,2293,0.0014232263201847672
32,1102,0.0013597443467006087
33,4218,0.0013496223837137222
34,4933,0.0013367838691920042
35,4295,0.0013260907726362348
36,156,0.0012997824233025312
37,1172,0.0012869120109826326
38,2214,0.0012667190749198198
39,3690,0.0012497194111347198
40,2530,0.0012118809390813112
41,111,0.0011927506420761347
42,2405,0.0011675149435177445
43,4272,0.0011619685683399439
44,5008,0.001161096035502851
45,750,0.0011344997910782695
46,2621,0.0011162059381604195
47,1711,0.0011078068055212498
48,2442,0.0010937044862657785
49,592,0.0010773504618555307
50,776,0.0010638388339430094
