feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,2000,9218,7218
1,0.0,0.0,6619,6719,100
2,0.0,0.0,6620,6720,100
3,0.0,0.0,6621,6721,100
4,0.0,0.0,6622,6722,100
5,-1.0534681678109337e-05,-0.10742412507534027,9703,9826,123
6,0.0,0.0,6623,6723,100
7,0.0,0.0,6624,6724,100
8,0.0,0.0,6625,6725,100
9,0.0,0.0,6626,6726,100
10,0.0,0.0,6618,6718,100
11,0.0,0.0,6628,6728,100
12,0.0,0.0,6629,6729,100
13,0.0,0.0,6630,6730,100
14,0.00018647106480784714,0.11779192835092545,160,885,725
15,0.0,0.0,6631,6731,100
16,0.0,0.0,6632,6732,100
17,0.0001587193983141333,3.8024535179138184,181,544,363
18,0.0,0.0,6633,6733,100
19,0.0,0.0,6634,6734,100
20,0.0,0.0,6635,6735,100
21,0.0,0.0,6609,6709,100
22,0.0,0.0,6601,6701,100
23,1.8296580037713284e-06,222.625732421875,653,309,-344
24,0.0,0.0,6602,6702,100
25,0.0,0.0,6603,6703,100
26,0.0,0.0,6604,6704,100
27,0.0,0.0,6605,6705,100
28,0.0,0.0,6606,6706,100
29,0.0,0.0,6607,6707,100
30,0.0,0.0,6608,6708,100
31,0.0,0.0,6600,6700,100
32,0.0,0.0,6610,6710,100
33,0.0,0.0,6611,6711,100
34,0.0,0.0,6612,6712,100
35,0.0,0.0,6613,6713,100
36,0.0,0.0,6614,6714,100
37,0.0,0.0,6615,6715,100
38,0.0,0.0,6616,6716,100
39,0.0,0.0,6617,6717,100
40,0.0,0.0,6627,6727,100
41,0.0,0.0,6655,6755,100
42,0.0,0.0,6656,6756,100
43,0.0,0.0,6657,6757,100
44,0.0,0.0,6658,6758,100
45,1.0341525467083557e-06,129.1656494140625,732,420,-312
46,0.0,0.0,6659,6759,100
47,0.0,0.0,6660,6760,100
48,0.0,0.0,6661,6761,100
49,0.0,0.0,6662,6762,100
50,0.0,0.0,6654,6754,100
51,0.0,0.0,6664,6764,100
52,0.0,0.0,6665,6765,100
53,-9.111205872613937e-05,-0.13800647854804993,9998,9903,-95
54,0.0,0.0,6666,6766,100
55,0.0,0.0,6667,6767,100
56,0.0,0.0,6668,6768,100
57,0.0,0.0,6669,6769,100
58,0.0,0.0,6670,6770,100
59,0.0,0.0,6671,6771,100
60,0.0,0.0,6645,6745,100
61,0.0,0.0,6637,6737,100
62,-8.318114623762085e-07,-0.04586275294423103,9277,9493,216
63,0.0,0.0,6638,6738,100
64,0.0,0.0,6639,6739,100
65,0.0,0.0,6640,6740,100
66,0.0,0.0,6641,6741,100
67,0.0,0.0,6642,6742,100
68,0.0,0.0,6643,6743,100
69,0.0,0.0,6644,6744,100
70,-5.243358828010969e-05,0.1472923755645752,9917,860,-9057
71,0.0,0.0,6636,6736,100
72,0.0,0.0,6646,6746,100
73,0.0,0.0,6647,6747,100
74,0.0,0.0,6648,6748,100
75,0.0,0.0,6649,6749,100
76,0.0,0.0,6650,6750,100
77,0.0,0.0,6651,6751,100
78,-1.1502278539410327e-05,-0.10979761928319931,9713,9832,119
79,0.0,0.0,6652,6752,100
80,0.0,0.0,6653,6753,100
81,0.0,0.0,6591,6691,100
82,0.0,0.0,6547,6647,100
83,0.0,0.0,6548,6648,100
84,0.0,0.0,6549,6649,100
85,0.0,0.0,6550,6650,100
86,0.0,0.0,6551,6651,100
87,0.0,0.0,6552,6652,100
88,-1.0677273394321674e-06,-0.04586721211671829,9393,9606,213
89,0.0,0.0,6553,6653,100
90,0.0,0.0,6554,6654,100
91,0.0,0.0,6546,6646,100
92,0.0,0.0,6556,6656,100
93,0.0,0.0,6557,6657,100
94,0.0,0.0,6558,6658,100
95,0.0,0.0,6559,6659,100
96,8.42041481519118e-05,0.2579107880592346,267,791,524
97,0.0,0.0,6560,6660,100
98,9.528522787149996e-05,0.10062947124242783,254,897,643
99,0.0,0.0,6561,6661,100
100,0.0,0.0,6562,6662,100
101,0.0,0.0,6563,6663,100
102,0.0,0.0,6537,6637,100
103,0.0,0.0,6528,6628,100
104,0.0,0.0,6529,6629,100
105,0.0,0.0,6530,6630,100
106,0.0,0.0,6531,6631,100
