feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,8136,8382,246
1,0.0,0.0,7508,6938,-570
2,-4.0019693869908224e-07,-0.028551334515213966,9669,9747,78
3,0.0,0.0,8227,6939,-1288
4,0.0,0.0,8244,6940,-1304
5,4.596850544658082e-07,55.41991424560547,1400,862,-538
6,0.0,0.0,8248,6941,-1307
7,7.168611773522571e-05,770.4417114257812,536,282,-254
8,0.0,0.0,8251,6942,-1309
9,0.0,0.0,8252,6943,-1309
10,2.655695823250426e-07,54.5589485168457,1590,875,-715
11,0.00014007712888997048,0.1122644916176796,354,1588,1234
12,6.880997602820571e-07,88.13477325439453,1242,667,-575
13,0.0,0.0,8217,6944,-1273
14,5.386147563513077e-07,54.71800994873047,1319,872,-447
15,0.0,0.0,8223,6945,-1278
16,0.0,0.0,8221,6937,-1284
17,0.0,0.0,8214,6947,-1267
18,0.0,0.0,8291,6948,-1343
19,0.0,0.0,8297,6949,-1348
20,0.0,0.0,8300,6950,-1350
21,0.0,0.0,8311,6951,-1360
22,0.0,0.0,8316,6952,-1364
23,0.0,0.0,8320,6953,-1367
24,0.0,0.0,8322,6928,-1394
25,-4.706390370756708e-07,-0.02855680324137211,9710,9797,87
26,0.0,0.0,8323,6920,-1403
27,0.0,0.0,8268,6921,-1347
28,0.0,0.0,8258,6922,-1336
29,0.0,0.0,8267,6923,-1344
30,0.0,0.0,8279,6924,-1355
31,0.0,0.0,8287,6925,-1362
32,0.0,0.0,8107,6926,-1181
33,0.0,0.0,8103,6927,-1176
34,0.0,0.0,8102,6919,-1183
35,0.00012470684305299073,689.8668212890625,394,299,-95
36,0.0,0.0,8095,6929,-1166
37,0.0,0.0,8109,6930,-1179
38,0.0,0.0,8069,6931,-1138
39,0.0,0.0,8059,6932,-1127
40,0.0,0.0,8058,6933,-1125
41,0.0,0.0,8166,6934,-1232
42,0.0,0.0,8159,6935,-1224
43,0.0,0.0,8176,6936,-1240
44,0.00016899881302379072,0.8423568606376648,295,1299,1004
45,0.0,0.0,8177,6946,-1231
46,0.0,0.0,8150,6973,-1177
47,0.0,0.0,8138,6974,-1164
48,0.0,0.0,8496,6975,-1521
49,0.0,0.0,8512,6976,-1536
50,0.0,0.0,8515,6977,-1538
51,0.0,0.0,8464,6978,-1486
52,4.941546194459079e-07,63.2934455871582,1364,782,-582
53,0.0,0.0,8466,6979,-1487
54,0.0,0.0,8489,6980,-1509
55,0.0,0.0,8474,6972,-1502
56,0.0,0.0,8475,6982,-1493
57,0.0,0.0,8576,6983,-1593
58,0.0,0.0,8579,6984,-1595
59,0.0,0.0,8530,6985,-1545
60,0.0,0.0,8542,6986,-1556
61,0.0,0.0,8552,6987,-1565
62,0.0,0.0,8366,6988,-1378
63,0.0,0.0,8360,6963,-1397
64,0.0,0.0,8359,6955,-1404
65,0.0,0.0,8378,6956,-1422
66,0.0001923523232107982,58.429359436035156,250,831,581
67,0.0,0.0,8382,6957,-1425
68,0.0,0.0,8390,6958,-1432
69,0.0,0.0,8336,6959,-1377
70,0.0,0.0,8332,6960,-1372
71,0.0,0.0,8347,6961,-1386
72,-0.000291920528979972,-0.3558727502822876,10086,10141,55
73,-2.9718337827944197e-05,-0.13053983449935913,9874,9969,95
74,0.00011346831161063164,0.19970083236694336,420,1527,1107
75,-0.0008062003180384636,-0.5567744374275208,10190,10203,13
76,0.0,0.0,8432,6962,-1470
77,0.0,0.0,8448,6954,-1494
78,0.0,0.0,8456,6964,-1492
79,0.0,0.0,8400,6965,-1435
80,0.0,0.0,8415,6966,-1449
81,0.0001571184111526236,2.173699378967285,321,1205,884
82,0.0,0.0,8416,6967,-1449
83,9.462763955525588e-06,0.01357294898480177,931,1676,745
84,-0.00015560556494165212,-0.20062299072742462,10020,10043,23
85,0.0,0.0,8420,6968,-1452
86,0.0,0.0,8421,6969,-1452
87,0.0,0.0,7705,6970,-735
88,-0.0005953303771093488,-0.21451988816261292,10163,10055,-108
89,0.0,0.0,7702,6971,-731
90,0.0,0.0,7695,6911,-784
91,0.0,0.0,7694,6867,-827
92,0.0,0.0,7715,6868,-847
93,3.701812829604023e-07,47.027591705322266,1521,975,-546
94,0.0,0.0,7717,6869,-848
95,0.0,0.0,7724,6870,-854
96,0.0,0.0,7684,6871,-813
97,0.0,0.0,7666,6872,-794
98,1.808406011605257e-07,23.162837982177734,1598,1118,-480
99,0.0,0.0,7665,6873,-792
100,0.0,0.0,7709,6874,-835
101,0.0,0.0,7758,6866,-892
102,4.155830879426503e-07,52.79541015625,1458,901,-557
103,0.0,0.0,7766,6876,-890
104,0.00016895189764909446,20556.333984375,297,20,-277
105,0.0,0.0,7761,6877,-884
106,0.0,0.0,7776,6878,-898
107,0.0,0.0,7778,6879,-899
108,0.0,0.0,7786,6880,-906
109,0.0,0.0,7737,6881,-856
110,0.0,0.0,7728,6882,-846
111,0.0,0.0,7642,6883,-759
112,0.0,0.0,7561,6857,-704
113,0.0,0.0,7578,6849,-729
114,0.0,0.0,7580,6850,-730
