rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
1,2486,1.0,1.0,52.41215515136719,2.138942241668701,1
2,9615,1.0,1.0,3.063385486602783,1.651681661605835,1
3,4797,1.0,1.0,2.2830259799957275,0.6125494241714478,1
4,2058,1.0,1.0,1.8995957374572754,0.9182175993919373,1
5,2780,1.0,1.0,1.8819345235824585,0.5168584585189819,1
6,6741,1.0,1.0,1.5409468412399292,0.5985097885131836,1
7,435,1.0,1.0,1.521572470664978,0.7156816124916077,1
8,4476,1.0,1.0,1.5163956880569458,0.9138943552970886,1
9,2514,1.0,1.0,1.4819188117980957,0.7478766441345215,1
10,8036,1.0,1.0,1.455230712890625,0.5380614995956421,1
11,44,1.0,1.0,1.427536129951477,0.7215719819068909,1
12,8762,1.0,1.0,1.3834776878356934,0.6922835111618042,1
13,6954,1.0,1.0,1.3696058988571167,0.782204806804657,1
14,2187,1.0,1.0,1.3240429162979126,0.557938277721405,1
15,7080,1.0,1.0,1.2722766399383545,0.5857898592948914,1
16,5274,1.0,1.0,1.2585363388061523,0.9836533069610596,1
17,8413,1.0,1.0,1.2529925107955933,0.4815273582935333,1
18,7220,1.0,1.0,1.238376498222351,0.6436178684234619,1
19,2523,1.0,1.0,1.197752833366394,0.6337602734565735,1
20,8530,1.0,1.0,1.1244916915893555,0.4904875159263611,1
21,1578,1.0,1.0,1.1206073760986328,0.4775542616844177,1
22,908,1.0,1.0,1.1173430681228638,0.47321245074272156,1
23,8265,1.0,1.0,1.086524486541748,0.5408389568328857,1
24,7665,1.0,1.0,1.0673998594284058,0.5444008708000183,1
25,3548,1.0,1.0,1.022593379020691,0.4867328405380249,1
26,8054,1.0,1.0,1.020390510559082,0.43673625588417053,1
27,8384,1.0,1.0,0.9942449331283569,0.5385627746582031,1
28,7423,1.0,1.0,0.9440253973007202,0.46152839064598083,1
29,8981,1.0,1.0,0.9427027702331543,0.49578773975372314,1
30,5467,1.0,1.0,0.9087303876876831,0.5134645700454712,1
31,9561,1.0,1.0,0.8852823376655579,0.602834939956665,1
32,5649,1.0,1.0,0.8848125338554382,0.5552331209182739,1
33,3263,1.0,1.0,0.8775600790977478,0.4694507420063019,1
34,4733,1.0,1.0,0.8771138191223145,0.4212813079357147,1
35,5448,1.0,1.0,0.8757380247116089,0.2671736478805542,1
36,6558,1.0,1.0,0.8638979196548462,0.44138574600219727,1
37,5853,1.0,1.0,0.8577050566673279,0.41934898495674133,1
38,1098,1.0,1.0,0.8335381150245667,0.5309856534004211,1
39,1099,1.0,1.0,0.8324191570281982,0.3938197195529938,1
40,8096,1.0,1.0,0.8179022669792175,0.43156716227531433,1
41,8887,1.0,1.0,0.8046402931213379,0.4970470368862152,1
42,4878,1.0,1.0,0.8045491576194763,0.5019922852516174,1
43,63,1.0,1.0,0.8044340014457703,0.39443930983543396,1
44,8672,1.0,1.0,0.8031640648841858,0.4667579233646393,1
45,2394,1.0,1.0,0.797004222869873,0.44014811515808105,1
46,541,1.0,1.0,0.760093629360199,0.3192867040634155,1
47,3037,1.0,1.0,0.7090653777122498,0.48869025707244873,1
48,10182,1.0,1.0,0.7001078128814697,0.4449065625667572,1
